symbol,date,chg_9am_pct,config,entry_time_ET,entry_px,exit_time_ET,exit_px,exit_reason,pnl_pct,pnl_usd,mfe_pct,mae_pct,hold_sec,spread,short_seg_bars
KUST,2026-06-25,57.7,+2%,2026-06-25 09:30:56,2.27,09:31:50,2.3154,TARGET,2.0,0.454,11.454,-8.357,53,0.01,119
KUST,2026-06-25,57.7,+3%,2026-06-25 09:30:56,2.27,09:31:51,2.3381,TARGET,3.0,0.681,11.454,-8.357,54,0.01,119
KUST,2026-06-25,57.7,flip_only,2026-06-25 09:30:56,2.27,09:41:43,2.09,ATR_FLIP,-7.93,-1.8,11.454,-8.357,646,0.01,119
FCUV,2026-06-25,32.4,+2%,2026-06-25 09:36:11,6.27,09:37:36,6.3954,TARGET,2.0,1.254,6.539,-12.44,85,0.05,15
FCUV,2026-06-25,32.4,+3%,2026-06-25 09:36:11,6.27,09:37:38,6.4581,TARGET,3.0,1.881,6.539,-12.44,87,0.05,15
FCUV,2026-06-25,32.4,flip_only,2026-06-25 09:36:11,6.27,09:48:59,5.48,ATR_FLIP,-12.6,-7.9,6.539,-12.44,768,0.05,15
IQST,2026-06-25,41.7,+2%,2026-06-25 09:40:37,1.53,09:41:02,1.5606,TARGET,2.0,0.306,3.268,-13.725,25,0.01,56
IQST,2026-06-25,41.7,+3%,2026-06-25 09:40:37,1.53,09:41:03,1.5759,TARGET,3.0,0.459,3.268,-13.725,25,0.01,56
IQST,2026-06-25,41.7,flip_only,2026-06-25 09:40:37,1.53,09:48:58,1.32,ATR_FLIP,-13.725,-2.1,3.268,-13.725,501,0.01,56
AZI,2026-06-25,57.0,+2%,2026-06-25 09:46:05,1.89,09:46:21,1.9278,TARGET,2.0,0.378,6.878,-7.937,16,0.01,27
AZI,2026-06-25,57.0,+3%,2026-06-25 09:46:05,1.89,09:46:21,1.9467,TARGET,3.0,0.567,6.878,-7.937,16,0.01,27
AZI,2026-06-25,57.0,flip_only,2026-06-25 09:46:05,1.89,10:53:59,1.79,ATR_FLIP,-5.291,-1.0,6.878,-7.937,4073,0.01,27
FCUV,2026-06-25,32.4,+2%,2026-06-25 10:03:03,5.9,10:03:03,6.018,TARGET,2.0,1.18,20.847,-5.085,0,0.04,75
FCUV,2026-06-25,32.4,+3%,2026-06-25 10:03:03,5.9,10:03:12,6.077,TARGET,3.0,1.77,20.847,-5.085,8,0.04,75
FCUV,2026-06-25,32.4,flip_only,2026-06-25 10:03:03,5.9,11:20:21,5.98,ATR_FLIP,1.356,0.8,20.847,-5.085,4638,0.04,75
IQST,2026-06-25,41.7,+2%,2026-06-25 10:44:12,1.36,10:57:55,1.29,ATR_FLIP,-5.147,-0.7,1.471,-5.147,823,0.01,21
IQST,2026-06-25,41.7,+3%,2026-06-25 10:44:12,1.36,10:57:55,1.29,ATR_FLIP,-5.147,-0.7,1.471,-5.147,823,0.01,21
IQST,2026-06-25,41.7,flip_only,2026-06-25 10:44:12,1.36,10:57:55,1.29,ATR_FLIP,-5.147,-0.7,1.471,-5.147,823,0.01,21
MIMI,2026-06-25,60.9,+2%,2026-06-25 10:57:56,3.34,11:27:47,3.21,ATR_FLIP,-3.892,-1.3,1.198,-4.192,1790,0.02,32
MIMI,2026-06-25,60.9,+3%,2026-06-25 10:57:56,3.34,11:27:47,3.21,ATR_FLIP,-3.892,-1.3,1.198,-4.192,1790,0.02,32
MIMI,2026-06-25,60.9,flip_only,2026-06-25 10:57:56,3.34,11:27:47,3.21,ATR_FLIP,-3.892,-1.3,1.198,-4.192,1790,0.02,32
IQST,2026-06-25,41.7,+2%,2026-06-25 11:18:08,1.35,11:43:51,1.3,ATR_FLIP,-3.704,-0.5,2.222,-3.704,1543,0.01,27
IQST,2026-06-25,41.7,+3%,2026-06-25 11:18:08,1.35,11:43:51,1.3,ATR_FLIP,-3.704,-0.5,2.222,-3.704,1543,0.01,27
IQST,2026-06-25,41.7,flip_only,2026-06-25 11:18:08,1.35,11:43:51,1.3,ATR_FLIP,-3.704,-0.5,2.222,-3.704,1543,0.01,27
AZI,2026-06-25,57.0,+2%,2026-06-25 11:20:08,1.91,11:21:49,1.9482,TARGET,2.0,0.382,8.377,-3.665,100,0.01,31
AZI,2026-06-25,57.0,+3%,2026-06-25 11:20:08,1.91,11:25:07,1.9673,TARGET,3.0,0.573,8.377,-3.665,298,0.01,31
AZI,2026-06-25,57.0,flip_only,2026-06-25 11:20:08,1.91,11:30:22,1.84,ATR_FLIP,-3.665,-0.7,8.377,-3.665,613,0.01,31
KUST,2026-06-25,57.7,+2%,2026-06-25 11:40:09,1.66,12:21:34,1.6932,TARGET,2.0,0.332,4.819,-4.217,2485,0.02,43
KUST,2026-06-25,57.7,+3%,2026-06-25 11:40:09,1.66,12:25:35,1.7098,TARGET,3.0,0.498,4.819,-4.217,2726,0.02,43
KUST,2026-06-25,57.7,flip_only,2026-06-25 11:40:09,1.66,13:18:41,1.63,ATR_FLIP,-1.807,-0.3,4.819,-4.217,5912,0.02,43
MIMI,2026-06-25,60.9,+2%,2026-06-25 11:59:26,3.47,12:04:23,3.5394,TARGET,2.0,0.694,3.746,-4.035,296,0.01,33
MIMI,2026-06-25,60.9,+3%,2026-06-25 11:59:26,3.47,12:19:20,3.35,ATR_FLIP,-3.458,-1.2,3.746,-4.035,1194,0.01,33
MIMI,2026-06-25,60.9,flip_only,2026-06-25 11:59:26,3.47,12:19:20,3.35,ATR_FLIP,-3.458,-1.2,3.746,-4.035,1194,0.01,33
AZI,2026-06-25,57.0,+2%,2026-06-25 12:01:58,1.9,12:04:40,1.938,TARGET,2.0,0.38,10.526,-0.526,161,0.01,48
AZI,2026-06-25,57.0,+3%,2026-06-25 12:01:58,1.9,12:04:49,1.957,TARGET,3.0,0.57,10.526,-0.526,170,0.01,48
AZI,2026-06-25,57.0,flip_only,2026-06-25 12:01:58,1.9,13:10:31,1.89,ATR_FLIP,-0.526,-0.1,10.526,-0.526,4112,0.01,48
IQST,2026-06-25,41.7,+2%,2026-06-25 12:10:32,1.35,12:10:47,1.377,TARGET,2.0,0.27,26.667,-2.222,15,0.01,25
IQST,2026-06-25,41.7,+3%,2026-06-25 12:10:32,1.35,12:24:48,1.3905,TARGET,3.0,0.405,26.667,-2.222,855,0.01,25
IQST,2026-06-25,41.7,flip_only,2026-06-25 12:10:32,1.35,13:04:39,1.47,ATR_FLIP,8.889,1.2,26.667,-2.222,3247,0.01,25
FCUV,2026-06-25,32.4,+2%,2026-06-25 12:35:56,5.62,12:52:18,5.7324,TARGET,2.0,1.124,11.566,-5.16,981,0.09,88
FCUV,2026-06-25,32.4,+3%,2026-06-25 12:35:56,5.62,12:52:21,5.7886,TARGET,3.0,1.686,11.566,-5.16,985,0.09,88
FCUV,2026-06-25,32.4,flip_only,2026-06-25 12:35:56,5.62,14:33:45,5.87,ATR_FLIP,4.448,2.5,11.566,-5.16,7068,0.09,88
MIMI,2026-06-25,60.9,+2%,2026-06-25 12:52:42,3.43,13:35:36,3.33,ATR_FLIP,-2.915,-1.0,1.458,-2.915,2573,0.02,39
MIMI,2026-06-25,60.9,+3%,2026-06-25 12:52:42,3.43,13:35:36,3.33,ATR_FLIP,-2.915,-1.0,1.458,-2.915,2573,0.02,39
MIMI,2026-06-25,60.9,flip_only,2026-06-25 12:52:42,3.43,13:35:36,3.33,ATR_FLIP,-2.915,-1.0,1.458,-2.915,2573,0.02,39
IQST,2026-06-25,41.7,+2%,2026-06-25 13:29:00,1.58,14:05:41,1.6116,TARGET,2.0,0.316,3.797,-3.481,2200,0.01,7
IQST,2026-06-25,41.7,+3%,2026-06-25 13:29:00,1.58,14:05:48,1.6274,TARGET,3.0,0.474,3.797,-3.481,2207,0.01,7
IQST,2026-06-25,41.7,flip_only,2026-06-25 13:29:00,1.58,14:46:12,1.52,ATR_FLIP,-3.797,-0.6,3.797,-3.481,4632,0.01,7
AZI,2026-06-25,57.0,+2%,2026-06-25 13:58:07,1.95,14:03:07,1.989,TARGET,2.0,0.39,2.559,-2.051,299,0.01,21
