symbol,buy_signal_ts,entry_ts,entry_px,sell_signal_ts,natural_exit_ts,natural_exit_px,natural_exit_reason,natural_return_pct,mfe_pct,mae_pct,reached_5_ts,reached_8_ts,reached_10_ts,quote_count
BIAF,2026-09-01T13:03:00+00:00,2026-09-01T13:03:00.041311+00:00,6.71,2026-09-01T14:03:00+00:00,2026-09-01T14:03:00.685935+00:00,6.65,atr_sell,-0.894187779433675,28.166915052160956,-4.3219076005961305,2026-09-01T13:17:28.870904+00:00,2026-09-01T13:25:52.258231+00:00,2026-09-01T13:26:00.755541+00:00,62235
BIAF,2026-09-01T15:32:00+00:00,2026-09-01T15:32:00.033934+00:00,6.6,2026-09-01T15:53:00+00:00,2026-09-01T15:53:00.548719+00:00,6.4,atr_sell,-3.0303030303030165,7.878787878787885,-4.242424242424237,2026-09-01T15:40:30.263391+00:00,,,9407
BIAF,2026-09-01T16:43:00+00:00,2026-09-01T16:43:00.089111+00:00,6.59,2026-09-01T17:53:00+00:00,2026-09-01T17:53:00.918622+00:00,6.51,atr_sell,-1.2139605462822445,6.980273141122906,-4.097116843702575,2026-09-01T17:32:16.858957+00:00,,,8388
BIAF,2026-09-01T18:50:00+00:00,2026-09-01T18:50:01.023077+00:00,6.84,2026-09-01T19:55:00+00:00,2026-09-01T19:55:03.180469+00:00,6.53,atr_sell,-4.532163742690054,1.023391812865504,-4.678362573099415,,,,4690
FLYE,2026-09-01T15:38:00+00:00,2026-09-01T15:38:00.465272+00:00,1.89,2026-09-01T16:53:00+00:00,2026-09-01T16:53:00.006092+00:00,2.0,atr_sell,5.820105820105836,22.222222222222232,-2.64550264550264,2026-09-01T16:08:06.653482+00:00,2026-09-01T16:09:12.754514+00:00,2026-09-01T16:09:22.084929+00:00,20131
FLYE,2026-09-01T17:49:00+00:00,2026-09-01T17:49:01.716091+00:00,2.06,2026-09-01T19:18:00+00:00,2026-09-01T19:18:00.058951+00:00,2.2,atr_sell,6.796116504854366,17.961165048543705,-1.9417475728155331,2026-09-01T18:11:06.111811+00:00,2026-09-01T18:16:21.508788+00:00,2026-09-01T18:17:48.558342+00:00,18078
RDAC,2026-09-01T17:47:00+00:00,2026-09-01T17:47:00.019615+00:00,6.41,2026-09-01T18:52:00+00:00,2026-09-01T18:52:03.278703+00:00,6.15,atr_sell,-4.056162246489858,8.112324492979717,-4.056162246489858,2026-09-01T17:48:41.789069+00:00,2026-09-01T18:32:12.912344+00:00,,3913
RDAC,2026-09-01T19:06:00+00:00,2026-09-01T19:06:00.703983+00:00,6.58,,2026-09-01T19:59:56.444847+00:00,6.55,session_close,-0.455927051671734,3.951367781155013,-4.255319148936176,,,,1955
SSM,2026-09-01T12:52:00+00:00,2026-09-01T12:52:00.103711+00:00,3.8,2026-09-01T13:31:00+00:00,2026-09-01T13:31:00.338105+00:00,3.7,atr_sell,-2.631578947368407,2.3684210526315974,-3.421052631578947,,,,1877
SSM,2026-09-01T13:38:00+00:00,2026-09-01T13:38:00.013530+00:00,4.0,2026-09-01T13:55:00+00:00,2026-09-01T13:55:00.019950+00:00,3.71,atr_sell,-7.250000000000001,9.749999999999993,-7.9999999999999964,2026-09-01T13:39:34.342909+00:00,2026-09-01T13:47:52.985750+00:00,,11470
SSM,2026-09-01T14:44:00+00:00,2026-09-01T14:44:00.349362+00:00,4.09,2026-09-01T14:49:00+00:00,2026-09-01T14:49:00.637934+00:00,3.86,atr_sell,-5.623471882640585,1.9559902200489088,-6.845965770171148,,,,1112
SSM,2026-09-01T15:27:00+00:00,2026-09-01T15:27:02.246693+00:00,3.92,2026-09-01T16:46:00+00:00,2026-09-01T16:46:02.465279+00:00,3.9,atr_sell,-0.5102040816326481,5.612244897959173,-1.5306122448979553,2026-09-01T15:57:56.104092+00:00,,,3652
SSM,2026-09-01T17:38:00+00:00,2026-09-01T17:38:08.983953+00:00,4.03,2026-09-01T17:55:00+00:00,2026-09-01T17:55:05.504969+00:00,3.9,atr_sell,-3.2258064516129115,0.0,-3.2258064516129115,,,,272
SSM,2026-09-01T18:32:00+00:00,2026-09-01T18:32:09.909305+00:00,3.97,,2026-09-01T19:59:59.377200+00:00,4.74,session_close,19.395465994962223,24.937027707808568,-2.518891687657432,2026-09-01T19:12:22.055353+00:00,2026-09-01T19:17:29.210684+00:00,2026-09-01T19:17:39.260559+00:00,15557
