Path,Symbol,EntryTime,EntryPrice,ExitTime,ExitPrice,Shares,ExitReason,PnL$,PnL%,CumTradePnL$
"P3-B(touch,vol>5k)",CAST,19:53,1.4136,19:54,1.3924,10,hard-stop,-0.212,-1.5,-0.212
"P3-A(flip,vol>5k)",CAST,12:17,1.4377,12:18,1.4665,5,scale+2%,0.144,2.003,0.144
"P3-A(flip,vol>5k)",CAST,12:17,1.4377,12:18,1.4593,5,floor+1.50%,0.108,1.502,0.252
"P3-A(flip,vol>5k)",CAST,14:54,1.405,14:55,1.3839,10,hard-stop,-0.211,-1.502,-0.211
"P3-A(flip,vol>5k)",CAST,17:32,1.31,17:33,1.2904,10,hard-stop,-0.196,-1.496,-0.196
"P3-A(flip,vol>5k)",CAST,19:24,1.468,19:25,1.4974,5,scale+2%,0.147,2.003,0.147
"P3-A(flip,vol>5k)",CAST,19:24,1.468,19:25,1.4753,5,floor+0.50%,0.0365,0.497,0.1835
P1-MACD Cross,BYAH,08:20,2.5114,08:21,2.5114,10,floor@BE *AMBIG,0.0,0.0,0.0
P2-VWAP Breakout,BYAH,07:35,2.4302,07:36,2.5274,7,scale+4%,0.6804,4.0,0.6804
P2-VWAP Breakout,BYAH,07:35,2.4302,07:36,2.5335,3,floor+4.25%,0.3099,4.251,0.9903
P2-VWAP Breakout,BYAH,09:09,2.84,09:10,2.84,10,floor@BE *AMBIG,0.0,0.0,0.0
P2-VWAP Breakout,BYAH,09:24,2.82,09:25,2.82,10,floor@BE *AMBIG,0.0,0.0,0.0
P2-VWAP Breakout,BYAH,09:33,2.92,09:34,3.0368,7,scale+4% *AMBIG,0.8176,4.0,0.8176
P2-VWAP Breakout,BYAH,09:33,2.92,09:34,3.0662,3,floor+5.01% *AMBIG,0.4386,5.007,1.2562
"P3-B(touch,vol>5k)",BYAH,07:35,2.4108,07:36,2.5072,7,scale+4%,0.6748,3.999,0.6748
"P3-B(touch,vol>5k)",BYAH,07:35,2.4108,07:36,2.5338,3,floor+5.10%,0.369,5.102,1.0438
"P3-B(touch,vol>5k)",BYAH,08:20,2.4182,08:21,2.5149,7,scale+4%,0.6769,3.999,0.6769
"P3-B(touch,vol>5k)",BYAH,08:20,2.4182,08:21,2.5237,3,floor+4.36%,0.3165,4.363,0.9934
"P3-B(touch,vol>5k)",BYAH,09:08,2.8145,09:09,2.8145,10,floor@BE *AMBIG,0.0,0.0,0.0
"P3-B(touch,vol>5k)",BYAH,10:14,2.747,10:15,2.7058,10,hard-stop,-0.412,-1.5,-0.412
"P3-B(touch,vol>5k)",BYAH,11:31,2.4467,11:34,2.41,10,hard-stop,-0.367,-1.5,-0.367
"P3-B(touch,vol>5k)",BYAH,13:19,1.8991,13:21,1.8706,10,hard-stop,-0.285,-1.501,-0.285
"P3-B(touch,vol>5k)",BYAH,14:08,1.8198,14:09,1.8198,10,floor@BE *AMBIG,0.0,0.0,0.0
"P3-B(touch,vol>5k)",BYAH,15:00,1.9059,15:01,1.8773,10,hard-stop,-0.286,-1.501,-0.286
"P3-B(touch,vol>5k)",BYAH,16:41,1.5337,16:42,1.5107,10,hard-stop,-0.23,-1.5,-0.23
"P3-B(touch,vol>5k)",BYAH,18:24,1.4986,18:25,1.5286,5,scale+2% *AMBIG,0.15,2.002,0.15
"P3-B(touch,vol>5k)",BYAH,18:24,1.4986,18:25,1.5211,5,floor+1.50% *AMBIG,0.1125,1.501,0.2625
"P3-A(flip,vol>5k)",BYAH,07:35,2.4302,07:36,2.5274,7,scale+4%,0.6804,4.0,0.6804
"P3-A(flip,vol>5k)",BYAH,07:35,2.4302,07:36,2.5335,3,floor+4.25%,0.3099,4.251,0.9903
"P3-A(flip,vol>5k)",BYAH,08:20,2.5114,08:21,2.5114,10,floor@BE *AMBIG,0.0,0.0,0.0
"P3-A(flip,vol>5k)",BYAH,09:09,2.84,09:10,2.84,10,floor@BE *AMBIG,0.0,0.0,0.0
"P3-A(flip,vol>5k)",BYAH,10:59,2.51,11:00,2.4723,10,hard-stop,-0.377,-1.502,-0.377
"P3-A(flip,vol>5k)",BYAH,12:33,2.185,12:34,2.185,10,floor@BE,0.0,0.0,0.0
"P3-A(flip,vol>5k)",BYAH,13:19,1.91,13:20,1.8813,10,hard-stop,-0.287,-1.503,-0.287
"P3-A(flip,vol>5k)",BYAH,14:09,1.8401,14:10,1.8401,10,floor@BE *AMBIG,0.0,0.0,0.0
"P3-A(flip,vol>5k)",BYAH,16:00,1.51,16:01,1.5704,7,scale+4%,0.4228,4.0,0.4228
"P3-A(flip,vol>5k)",BYAH,16:00,1.51,16:01,1.9174,3,floor+26.98%,1.2222,26.98,1.645
"P3-A(flip,vol>5k)",BYAH,16:52,1.54,16:53,1.5169,10,hard-stop,-0.231,-1.5,-0.231
"P3-A(flip,vol>5k)",BYAH,18:24,1.51,18:25,1.5402,5,scale+2%,0.151,2.0,0.151
"P3-A(flip,vol>5k)",BYAH,18:24,1.51,18:26,1.5326,5,floor+1.50%,0.113,1.497,0.264
