group,date,symbol,atr_buy_time_et,fill_time_et,fill_price,exit_time_et,exit_price,exit_trigger,exit_reason,max_down_pct,max_down_time_et,minutes_to_max_down,max_up_pct,max_up_time_et,minutes_to_max_up,fill_volume_ratio_20,fill_vwap,fill_price_vs_vwap_pct,fill_macd_histogram,fill_stochastic,fill_rsi,fill_dot_count,fill_atr_trailing_stop,scanner_confirm_time_et,scanner_drop_type,scanner_drop_time_et,bar1_open,bar1_high,bar1_low,bar1_close,bar1_volume,bar2_open,bar2_high,bar2_low,bar2_close,bar2_volume,bar3_open,bar3_high,bar3_low,bar3_close,bar3_volume,bar4_open,bar4_high,bar4_low,bar4_close,bar4_volume,bar5_open,bar5_high,bar5_low,bar5_close,bar5_volume
14_never_above_never_plus_1,2026-08-24,PMI,07:34:00,07:34:00.855962,4.37,07:46:02.625481,4.3,atr_sell,atr_sell,-2.059496567505714,07:44:14.268139,10.223536283333335,0.22883295194506825,07:39:29.354010,5.474967466666667,1.3344896220080278,4.38867674346108,-0.42556662412894797,0.02136906325503611,94.11764705882365,47.15927402849477,3,4.2437268599078966,04:16:49,FADE,09:32:44,4.3697,4.37,4.36,4.3697,10604,4.3603,4.37,4.36,4.3685,10857,4.36,4.37,4.36,4.36,8774,4.3603,4.37,4.36,4.36,6277,4.36,4.37,4.36,4.36,12247
3_never_above_plus_1_not_plus_5,2026-08-24,PMI,08:02:00,08:02:02.082785,4.34,08:36:00.520171,4.3,atr_sell,atr_sell,-1.8433179723502335,08:06:40.910470,4.647128083333333,2.3041474654378113,08:12:23.685645,10.360047666666667,4.054815503706338,4.366626186364027,-0.6097656457787703,0.0036337093653654104,87.09677419354861,55.29809588127281,3,4.158716492955514,04:16:49,FADE,09:32:44,4.3395,4.3395,4.31,4.3199,9800,4.3103,4.32,4.31,4.32,1794,4.3188,4.32,4.31,4.3198,5241,4.32,4.32,4.31,4.31,2316,4.3197,4.3197,4.26,4.26,5748
14_never_above_never_plus_1,2026-08-24,BTCT,09:27:00,09:27:00.003525,1.69,09:33:00.723919,1.57,atr_sell,atr_sell,-8.875739644970404,09:31:32.378818,4.539588216666667,-0.591715976331364,09:27:00.003525,0.0,0.7816336196803785,1.6857391342083339,0.25275949909455697,0.009256298730392156,83.75000000000011,60.06515512337497,3,1.5810601116235385,07:46:11,FADE,09:42:34,1.6895,1.6895,1.67,1.67,117711,1.67,1.68,1.631,1.64,79560,1.64,1.66,1.62,1.635,103272,1.63,1.66,1.59,1.59,380695,1.59,1.59,1.54,1.5897,686256
14_never_above_never_plus_1,2026-08-24,BTCT,11:28:00,11:28:00.598358,2.38,11:34:00.071971,2.11,atr_sell,atr_sell,-13.025210084033612,11:33:49.097540,5.8083197,-0.42016806722687816,11:28:00.598358,0.0,1.1767106649308305,2.058443712995247,15.621330084214712,0.005519241059987174,95.83333333333343,56.949559025048416,3,2.1685937790154544,09:49:29,none,none,2.375,2.38,2.32,2.36,685819,2.3691,2.37,2.26,2.33,684322,2.325,2.33,2.27,2.2901,267865,2.295,2.3,2.28,2.2808,124928,2.288,2.32,2.28,2.2913,186947
14_never_above_never_plus_1,2026-08-24,PMI,13:42:00,13:42:00.137546,4.63,13:58:00.075759,4.47,atr_sell,atr_sell,-3.455723542116629,13:56:09.070254,14.148878466666668,-0.21598272138227959,13:42:00.137546,0.0,9.247097382619854,4.571174677196835,1.2868754085599399,0.011801835645032885,99.56222639149459,72.88881538450138,3,4.480901640520768,10:00:57,none,none,4.625,4.63,4.51,4.575,26004,4.5799,4.5964,4.5701,4.5898,10401,4.585,4.59,4.58,4.585,4161,4.5809,4.61,4.5809,4.594,13146,4.61,4.63,4.58,4.599,10871
14_never_above_never_plus_1,2026-08-24,PMI,14:17:00,14:17:00.122862,4.51,14:34:00.216630,4.46,atr_sell,atr_sell,-1.1086474501108556,14:33:33.607628,16.558079433333333,0.22172949002217113,14:24:23.060217,7.38228925,0.49803637640141296,4.570056434427295,-1.3141289454300042,0.010107806783586632,93.91824526420737,57.52596219926931,3,4.431026111830438,10:00:57,none,none,4.51,4.51,4.4997,4.4997,2926,4.5077,4.5077,4.4901,4.4901,1311,,,,,,4.5,4.5,4.5,4.5,2000,4.49,4.49,4.49,4.49,100
14_never_above_never_plus_1,2026-08-24,PMI,14:43:00,14:43:00.203558,4.62,14:59:00.229406,4.48,atr_sell,atr_sell,-4.329004329004338,14:58:19.433547,15.320499816666667,-0.43290043290044045,14:43:44.415338,0.7368629999999999,4.762507165306082,4.5697736216691975,1.099099922425828,0.008887850343661009,100.0,76.40776335831748,3,4.504439311630988,10:00:57,none,none,4.6,4.62,4.57,4.5962,25603,4.585,4.595,4.57,4.5711,2076,4.57,4.5762,4.53,4.53,6942,4.53,4.55,4.525,4.55,4123,4.55,4.5586,4.55,4.5521,6251
14_never_above_never_plus_1,2026-08-24,LUCY,14:51:00,14:51:00.619173,1.1,15:12:00.091891,1.04,atr_sell,atr_sell,-5.454545454545457,15:11:34.565135,20.565766033333333,-0.909090909090915,14:51:00.619173,0.0,2.964662137083995,1.0508344244038341,4.678717641369512,0.0017762763327909183,89.99999999999977,65.53792549286959,3,1.0432922648439464,09:36:58,none,none,1.095,1.1,1.08,1.095,122429,1.1,1.1,1.09,1.0901,94294,1.0999,1.1,1.09,1.095,65671,1.095,1.1,1.07,1.0701,99593,1.0796,1.08,1.07,1.0701,180362
14_never_above_never_plus_1,2026-08-24,LUCY,15:20:00,15:20:00.988445,1.11,15:39:05.663730,1.05,atr_sell,atr_sell,-6.3063063063063085,15:37:07.677595,17.111485833333333,-0.9009009009009028,15:20:00.988445,0.0,8.338737556618176,1.0511164277720495,5.602002848795773,0.003625374769809073,93.20000000000016,67.89256872184845,3,1.0279206033300436,09:36:58,none,none,1.105,1.11,1.08,1.08,128396,1.085,1.09,1.08,1.0801,55105,1.081,1.09,1.08,1.09,50242,1.085,1.0897,1.08,1.085,35388,1.0801,1.085,1.07,1.075,43901
14_never_above_never_plus_1,2026-08-24,BTCT,15:47:00,15:47:00.061639,1.87,15:57:00.139681,1.8,atr_sell,atr_sell,-3.7433155080213942,15:56:58.649535,9.976464933333334,-0.5347593582887722,15:47:00.061639,0.0,1.5112324040439284,2.067901326039669,-9.570153253815006,0.00368309532546994,85.71428571428599,51.02410965224163,3,1.7910552580402257,09:49:29,none,none,1.8675,1.8675,1.85,1.855,17484,1.851,1.86,1.85,1.855,27348,1.8501,1.86,1.85,1.855,85765,1.855,1.86,1.85,1.855,41392,1.86,1.86,1.85,1.85,25521
