day,symbol,break_number,opening_high,break_minute_et,atr_0930,atr_entry,body_pct,volume_ratio,macd_bullish,rsi_bullish,stoch_bullish,red_0925_0929,efficiency,reversals,status,reasons,qualification
2026-08-26,CRE,2,6.33000000,09:31,LONG,LONG,0.4411764705882352941176470588,14.21041579168416631667366653,True,True,True,4,0.7634408602150537634408602151,1,REJECT,R4 BODY_LT_45PCT; R5 FOUR_OF_FIVE_RED,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-26,DAIC,2,6.35000000,09:31,LONG,SHORT,0.7374576271186440677966101695,7.356870928289030476117062250,False,False,False,4,0.2001200120012001200120012001,3,REJECT,R1 ATR_NOT_CONTINUOUSLY_LONG; R2 RED_BREAK_BAR; R3 STACK_DISAGREES; R5 FOUR_OF_FIVE_RED; R6 CHOPPY,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-26,YYGH,1,1.97000000,09:31,SHORT,SHORT,0.3611111111111111111111111111,14.16081316713799620903312725,False,True,True,2,0.07142857142857142857142857143,1,REJECT,R1 ATR_NOT_CONTINUOUSLY_LONG; R3 STACK_DISAGREES; R4 BODY_LT_45PCT; R6 CHOPPY,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-26,YYGH,2,1.97000000,09:39,SHORT,LONG,0.9376470588235294117647058824,1.683009110694408374813766802,True,True,True,2,0.5174461766889383815887156644,3,REJECT,R1 ATR_NOT_CONTINUOUSLY_LONG; R6 CHOPPY,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-26,YYGH,3,1.97000000,09:40,SHORT,LONG,0.405,2.814807809466629506478792781,True,False,False,2,0.3923705722070844686648501362,3,REJECT,R1 ATR_NOT_CONTINUOUSLY_LONG; R2 RED_BREAK_BAR; R3 STACK_DISAGREES; R4 BODY_LT_45PCT; R6 CHOPPY,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-26,CRE,3,6.33000000,09:41,LONG,LONG,0.5725627910527521184823268952,3.160655606465020187736036203,False,False,False,4,0.4143622722400857449088960343,2,REJECT,R2 RED_BREAK_BAR; R3 STACK_DISAGREES; R5 FOUR_OF_FIVE_RED,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-26,CRE,4,6.33000000,09:42,LONG,LONG,0.4286939125464418405258645327,0.9206324443037305662323060371,False,False,False,4,0.3693929368315765176579210587,1,REJECT,R2 RED_BREAK_BAR; R3 STACK_DISAGREES; R4 BODY_LT_45PCT; R5 FOUR_OF_FIVE_RED,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-26,YYGH,4,1.97000000,09:42,SHORT,LONG,0.8575,1.133587147865457321566672684,True,True,True,2,0.4853300733496332518337408313,2,REJECT,R1 ATR_NOT_CONTINUOUSLY_LONG,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-26,YYGH,5,1.97000000,09:44,SHORT,LONG,0.4055068836045056320400500626,2.112210446144437717525914234,False,False,False,2,0.4345625451916124367317425886,1,REJECT,R1 ATR_NOT_CONTINUOUSLY_LONG; R2 RED_BREAK_BAR; R3 STACK_DISAGREES; R4 BODY_LT_45PCT,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-26,YYGH,6,1.97000000,09:45,SHORT,LONG,0.7707142857142857142857142857,2.510999076927715777666251318,False,False,False,2,0.2292191435768261964735516373,1,REJECT,R1 ATR_NOT_CONTINUOUSLY_LONG; R2 RED_BREAK_BAR; R3 STACK_DISAGREES; R6 CHOPPY,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-26,CRE,5,6.33000000,09:46,LONG,LONG,0.3177272727272727272727272727,0.3145453128787616442151192991,False,False,False,4,0.04372416793561018055253426147,3,REJECT,R2 RED_BREAK_BAR; R3 STACK_DISAGREES; R4 BODY_LT_45PCT; R5 FOUR_OF_FIVE_RED; R6 CHOPPY,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
