day,symbol,group,entry_time_et,entry_price,entry_source,first_five_at_et,first_five_bid,pullback_reference_bid,pullback_started_at_et,pullback_giveback_points,pullback_giveback_pct,pullback_trough_at_et,recovered_at_et,pullback_duration_seconds,came_back,halt_count,gradable,gradability_reason,rule,armed_at_et,exit_at_et,exit_price,return_pct,flat_return_pct,difference_vs_flat,price_at_1000,price_at_1000_time_et,qualification
2026-08-25,DAIC,PRIMARY,09:30:21,3.66,FROZEN FROM OPERATOR-APPROVED ROW,09:30:23,3.850000,3.890000,09:30:23,0.273224043715846994535519100,-0.2570694087403598971722365000,09:30:23,09:30:23,0.005201,True,0,True,,TOUCH-F3-T5,09:30:23,09:30:27,3.760000,2.732240437158469945355191300,5.191256830601092896174863400,-2.459016393442622950819672100,4.100000,10:00:00,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-25,DAIC,PRIMARY,09:30:21,3.66,FROZEN FROM OPERATOR-APPROVED ROW,09:30:23,3.850000,3.890000,09:30:23,0.273224043715846994535519100,-0.2570694087403598971722365000,09:30:23,09:30:23,0.005201,True,0,True,,TOUCH-F3-T3,09:30:23,09:30:27,3.840000,4.918032786885245901639344300,5.191256830601092896174863400,-0.273224043715846994535519100,4.100000,10:00:00,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-25,DAIC,PRIMARY,09:30:21,3.66,FROZEN FROM OPERATOR-APPROVED ROW,09:30:23,3.850000,3.890000,09:30:23,0.273224043715846994535519100,-0.2570694087403598971722365000,09:30:23,09:30:23,0.005201,True,0,True,,TOUCH-F4-T5,09:30:23,09:30:27,3.800000,3.825136612021857923497267800,5.191256830601092896174863400,-1.366120218579234972677595600,4.100000,10:00:00,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-25,DAIC,PRIMARY,09:30:21,3.66,FROZEN FROM OPERATOR-APPROVED ROW,09:30:23,3.850000,3.890000,09:30:23,0.273224043715846994535519100,-0.2570694087403598971722365000,09:30:23,09:30:23,0.005201,True,0,True,,TOUCH-F4-T3,09:30:23,09:30:27,3.840000,4.918032786885245901639344300,5.191256830601092896174863400,-0.273224043715846994535519100,4.100000,10:00:00,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-25,DAIC,PRIMARY,09:30:21,3.66,FROZEN FROM OPERATOR-APPROVED ROW,09:30:23,3.850000,3.890000,09:30:23,0.273224043715846994535519100,-0.2570694087403598971722365000,09:30:23,09:30:23,0.005201,True,0,True,,MINUTE_CLOSE-F3-T5,09:31:00,09:31:13,4.380000,19.67213114754098360655737700,5.191256830601092896174863400,14.48087431693989071038251360,4.100000,10:00:00,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-25,DAIC,PRIMARY,09:30:21,3.66,FROZEN FROM OPERATOR-APPROVED ROW,09:30:23,3.850000,3.890000,09:30:23,0.273224043715846994535519100,-0.2570694087403598971722365000,09:30:23,09:30:23,0.005201,True,0,True,,MINUTE_CLOSE-F3-T3,09:31:00,09:31:13,4.450000,21.58469945355191256830601090,5.191256830601092896174863400,16.39344262295081967213114750,4.100000,10:00:00,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-25,DAIC,PRIMARY,09:30:21,3.66,FROZEN FROM OPERATOR-APPROVED ROW,09:30:23,3.850000,3.890000,09:30:23,0.273224043715846994535519100,-0.2570694087403598971722365000,09:30:23,09:30:23,0.005201,True,0,True,,MINUTE_CLOSE-F4-T5,09:31:00,09:31:13,4.380000,19.67213114754098360655737700,5.191256830601092896174863400,14.48087431693989071038251360,4.100000,10:00:00,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-25,DAIC,PRIMARY,09:30:21,3.66,FROZEN FROM OPERATOR-APPROVED ROW,09:30:23,3.850000,3.890000,09:30:23,0.273224043715846994535519100,-0.2570694087403598971722365000,09:30:23,09:30:23,0.005201,True,0,True,,MINUTE_CLOSE-F4-T3,09:31:00,09:31:13,4.450000,21.58469945355191256830601090,5.191256830601092896174863400,16.39344262295081967213114750,4.100000,10:00:00,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-26,DAIC,PRIMARY,09:30:04,6.11,FROZEN FROM OPERATOR-APPROVED ROW,09:30:19,6.420000,6.420000,09:30:19,0.163666121112929623567921400,-0.1557632398753894080996884700,09:30:19,09:30:19,0.002824,True,1,True,,TOUCH-F3-T5,09:30:19,09:30:34,6.360000,4.091653027823240589198036000,5.073649754500818330605564600,-0.981996726677577741407528600,5.230000,10:02:53,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-26,DAIC,PRIMARY,09:30:04,6.11,FROZEN FROM OPERATOR-APPROVED ROW,09:30:19,6.420000,6.420000,09:30:19,0.163666121112929623567921400,-0.1557632398753894080996884700,09:30:19,09:30:19,0.002824,True,1,True,,TOUCH-F3-T3,09:30:19,09:30:31,6.480000,6.055646481178396072013093300,5.073649754500818330605564600,0.981996726677577741407528700,5.230000,10:02:53,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-26,DAIC,PRIMARY,09:30:04,6.11,FROZEN FROM OPERATOR-APPROVED ROW,09:30:19,6.420000,6.420000,09:30:19,0.163666121112929623567921400,-0.1557632398753894080996884700,09:30:19,09:30:19,0.002824,True,1,True,,TOUCH-F4-T5,09:30:19,09:30:34,6.360000,4.091653027823240589198036000,5.073649754500818330605564600,-0.981996726677577741407528600,5.230000,10:02:53,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
