checkpoint_minutes,conditions,condition_count,build_winner_total,build_loser_total,build_winner_assessed,build_loser_assessed,build_winner_removed,build_loser_removed,build_winner_kept,build_loser_kept,build_winner_keep_rate,build_loser_remove_rate,build_unassessed,holdout_winner_total,holdout_loser_total,holdout_winner_assessed,holdout_loser_assessed,holdout_winner_removed,holdout_loser_removed,holdout_winner_kept,holdout_loser_kept,holdout_winner_keep_rate,holdout_loser_remove_rate,holdout_unassessed
3,price_vs_entry_pct <= +0 AND last_bar_direction is down,2,28,39,26,36,7,18,21,21,0.75,0.46153846153846156,5,14,16,14,16,8,12,6,4,0.42857142857142855,0.75,0
3,price_vs_entry_pct <= +1 AND volume_ratio_20 >= +1,2,28,39,26,36,7,21,21,18,0.75,0.5384615384615384,5,14,16,14,16,8,10,6,6,0.42857142857142855,0.625,0
3,max_up_so_far_pct <= +0 AND max_down_so_far_pct <= +0,2,28,39,28,39,6,19,22,20,0.7857142857142857,0.48717948717948717,0,14,16,14,16,7,6,7,10,0.5,0.375,0
3,max_up_so_far_pct <= +1 AND volume_ratio_20 >= +0.5,2,28,39,26,36,7,20,21,19,0.75,0.5128205128205128,5,14,16,14,16,8,6,6,10,0.42857142857142855,0.375,0
3,volume_ratio_20 >= +0.75 AND macd_histogram_direction is falling,2,28,39,26,36,8,20,20,19,0.7142857142857143,0.5128205128205128,5,14,16,14,16,5,13,9,3,0.6428571428571429,0.8125,0
3,volume_ratio_20 >= +1 AND price_vs_vwap_pct <= -2,2,28,39,26,36,8,19,20,20,0.7142857142857143,0.48717948717948717,5,14,16,14,16,6,4,8,12,0.5714285714285714,0.25,0
3,volume_ratio_20 >= +1 AND macd_histogram_direction is falling,2,28,39,26,36,4,18,24,21,0.8571428571428571,0.46153846153846156,5,14,16,14,16,5,10,9,6,0.6428571428571429,0.625,0
3,volume_ratio_20 <= +2 AND last_bar_direction is down,2,28,39,26,36,8,20,20,19,0.7142857142857143,0.5128205128205128,5,14,16,14,16,8,11,6,5,0.42857142857142855,0.6875,0
3,macd_histogram_direction is falling AND last_bar_direction is down,2,28,39,26,36,7,19,21,20,0.75,0.48717948717948717,5,14,16,14,16,8,12,6,4,0.42857142857142855,0.75,0
3,price_vs_entry_pct >= -3 AND max_up_so_far_pct <= +1 AND volume_ratio_20 <= +2,3,28,39,26,36,8,18,20,21,0.7142857142857143,0.46153846153846156,5,14,16,14,16,9,5,5,11,0.35714285714285715,0.3125,0
3,price_vs_entry_pct >= -3 AND max_up_so_far_pct <= +3 AND volume_ratio_20 >= +1,3,28,39,26,36,8,19,20,20,0.7142857142857143,0.48717948717948717,5,14,16,14,16,7,9,7,7,0.5,0.5625,0
3,price_vs_entry_pct >= -3 AND max_up_so_far_pct <= +4 AND volume_ratio_20 >= +1,3,28,39,26,36,8,22,20,17,0.7142857142857143,0.5641025641025641,5,14,16,14,16,7,9,7,7,0.5,0.5625,0
