session_day_et,split,symbol,buy_signal_ts,entry_ts,reached_5,what_went_right_or_wrong,what_would_have_flagged_it_early
2026-08-24,build,PMI,2026-08-24T15:58:00+00:00,2026-08-24T15:58:00.551569+00:00,True,"Reached +5%; 0m price -0.23%, range -0.23% to -0.23%, vol +2.24x, hist rising, dot 3, ATR long, VWAP below; 3m price -0.46%, range -1.15% to +0.23%, vol +0.19x, hist falling, dot 2, ATR long, VWAP below; 5m price -0.69%, range -1.15% to +0.23%, vol +0.29x, hist falling, dot 0, ATR long, VWAP below; 10m price -0.69%, range -2.99% to +0.23%, vol +0.41x, hist rising, dot 3, ATR long, VWAP below",no selected early failure combination present
2026-08-24,build,BTCT,2026-08-24T16:06:00+00:00,2026-08-24T16:06:00.301511+00:00,False,"Did not reach +5%; 0m price -0.43%, range -0.43% to -0.43%, vol +1.87x, hist rising, dot 3, ATR long, VWAP above; 3m price +0.43%, range -0.43% to +4.76%, vol +1.31x, hist falling, dot 3, ATR long, VWAP above; 5m price +0.43%, range -0.43% to +4.76%, vol +0.59x, hist falling, dot 2, ATR long, VWAP above; 10m price -0.87%, range -2.60% to +4.76%, vol +0.68x, hist falling, dot 1, ATR long, VWAP above",3m: volume_ratio_20 >= +1 AND macd_histogram_direction is falling
2026-08-24,build,DAIC,2026-08-24T16:57:00+00:00,2026-08-24T16:57:00.261108+00:00,True,"Reached +5%; 0m price -0.38%, range -0.38% to -0.38%, vol +1.76x, hist rising, dot 3, ATR long, VWAP above; 3m price +1.14%, range -1.89% to +3.03%, vol NA, hist NA, dot NA, ATR NA, VWAP NA; 5m price +2.27%, range -1.89% to +3.03%, vol NA, hist NA, dot NA, ATR NA, VWAP NA; 10m price NA, range -1.89% to +13.64%, vol NA, hist NA, dot NA, ATR NA, VWAP NA",no selected early failure combination present
2026-08-24,build,BTCT,2026-08-24T17:29:00+00:00,2026-08-24T17:29:00.001103+00:00,True,"Reached +5%; 0m price -0.48%, range -0.48% to -0.48%, vol +4.14x, hist rising, dot 3, ATR long, VWAP above; 3m price +0.48%, range -1.44% to +1.44%, vol +0.79x, hist rising, dot 3, ATR long, VWAP above; 5m price +0.00%, range -1.44% to +1.44%, vol +0.12x, hist falling, dot 3, ATR long, VWAP above; 10m price +0.00%, range -2.39% to +1.44%, vol +0.56x, hist rising, dot 3, ATR long, VWAP above",no selected early failure combination present
2026-08-24,build,XPON,2026-08-24T17:32:00+00:00,2026-08-24T17:32:00.617511+00:00,False,"Did not reach +5%; 0m price -1.52%, range -1.52% to -1.52%, vol +1.07x, hist rising, dot 3, ATR long, VWAP below; 3m price +2.35%, range -2.08% to +3.74%, vol +1.35x, hist rising, dot 3, ATR long, VWAP below; 5m price +0.83%, range -2.08% to +3.74%, vol +0.60x, hist falling, dot 1, ATR long, VWAP below; 10m price +0.42%, range -2.08% to +3.74%, vol +1.02x, hist falling, dot 2, ATR long, VWAP below",nothing visible
2026-08-24,build,PMI,2026-08-24T17:42:00+00:00,2026-08-24T17:42:00.137546+00:00,False,"Did not reach +5%; 0m price -0.22%, range -0.22% to -0.22%, vol +9.25x, hist rising, dot 3, ATR long, VWAP above; 3m price -1.08%, range -2.59% to -0.22%, vol +0.53x, hist falling, dot 3, ATR long, VWAP above; 5m price -0.86%, range -2.59% to -0.22%, vol +1.24x, hist falling, dot 2, ATR long, VWAP above; 10m price -2.38%, range -2.81% to -0.22%, vol +0.09x, hist falling, dot 1, ATR long, VWAP below",10m: price_vs_entry_pct <= -1 AND max_up_so_far_pct <= +4
2026-08-24,build,PMI,2026-08-24T18:17:00+00:00,2026-08-24T18:17:00.122862+00:00,False,"Did not reach +5%; 0m price -0.44%, range -0.44% to -0.44%, vol +0.50x, hist rising, dot 3, ATR long, VWAP below; 3m price -0.44%, range -0.44% to -0.22%, vol NA, hist NA, dot NA, ATR NA, VWAP NA; 5m price -0.67%, range -0.67% to -0.22%, vol +0.03x, hist falling, dot 1, ATR long, VWAP below; 10m price +0.22%, range -0.67% to +0.22%, vol +0.29x, hist falling, dot 3, ATR long, VWAP below",nothing visible
2026-08-24,build,PMI,2026-08-24T18:43:00+00:00,2026-08-24T18:43:00.203558+00:00,False,"Did not reach +5%; 0m price -0.87%, range -0.87% to -0.87%, vol +4.76x, hist rising, dot 3, ATR long, VWAP above; 3m price -2.16%, range -2.38% to -0.43%, vol +1.80x, hist falling, dot 0, ATR long, VWAP below; 5m price -1.73%, range -2.38% to -0.43%, vol +1.47x, hist falling, dot 2, ATR long, VWAP below; 10m price -2.38%, range -3.03% to -0.43%, vol +0.33x, hist falling, dot 1, ATR long, VWAP below",3m: volume_ratio_20 >= +1 AND macd_histogram_direction is falling; 10m: price_vs_entry_pct <= -1 AND max_up_so_far_pct <= +4
2026-08-24,build,BTCT,2026-08-24T18:48:00+00:00,2026-08-24T18:48:04.154702+00:00,False,"Did not reach +5%; 0m price -0.51%, range -0.51% to -0.51%, vol +1.58x, hist rising, dot 3, ATR long, VWAP below; 3m price -2.05%, range -2.05% to +0.51%, vol +0.65x, hist falling, dot 0, ATR long, VWAP below; 5m price -2.56%, range -2.56% to +0.51%, vol +0.16x, hist falling, dot 2, ATR long, VWAP below; 10m price -1.54%, range -2.56% to +0.51%, vol +0.33x, hist rising, dot 3, ATR long, VWAP below",10m: price_vs_entry_pct <= -1 AND max_up_so_far_pct <= +4
2026-08-24,build,LUCY,2026-08-24T18:51:00+00:00,2026-08-24T18:51:00.619173+00:00,False,"Did not reach +5%; 0m price -0.91%, range -0.91% to -0.91%, vol +2.96x, hist rising, dot 3, ATR long, VWAP above; 3m price -0.91%, range -1.82% to -0.91%, vol +1.01x, hist rising, dot 3, ATR long, VWAP above; 5m price -2.73%, range -2.73% to -0.91%, vol +2.59x, hist falling, dot 0, ATR long, VWAP above; 10m price -2.73%, range -3.64% to -0.91%, vol +0.26x, hist falling, dot 3, ATR long, VWAP above",10m: price_vs_entry_pct <= -1 AND max_up_so_far_pct <= +4
