session_day_et,split,symbol,buy_signal_ts,entry_ts,entry_px,reached_5,checkpoint_minutes,checkpoint_ts,quote_ts,bar_close_ts,missing_state,price_vs_entry_pct,max_up_so_far_pct,max_down_so_far_pct,touched_plus_2,touched_minus_3,volume_ratio_20,macd_histogram,macd_histogram_pct,macd_histogram_direction,stochastic,rsi,dot_consensus,atr_trailing_stop,atr_direction,vwap,price_vs_vwap_pct,above_vwap,minutes_since_flip,last_bar_direction,latest_minute_new_low
2026-08-24,build,BTCT,2026-08-24T13:27:00+00:00,2026-08-24T13:27:00.003525+00:00,1.69,False,0,2026-08-24T13:27:00.003525+00:00,2026-08-24T13:27:00.003525+00:00,2026-08-24T13:27:00+00:00,,-0.591715976331364,-0.591715976331364,-0.591715976331364,False,False,0.7816336196803785,0.009256298730392156,0.5508062320971232,rising,83.75000000000011,60.06515512337497,3,1.5810601116235385,long,1.6857391342083339,-0.31079151584115783,False,5.875e-05,up,
2026-08-24,build,BTCT,2026-08-24T13:27:00+00:00,2026-08-24T13:27:00.003525+00:00,1.69,False,3,2026-08-24T13:30:00.003525+00:00,2026-08-24T13:29:59.800197+00:00,2026-08-24T13:30:00+00:00,,-3.5502958579881727,-0.591715976331364,-4.142011834319515,False,True,0.8311539472206941,0.0062138134396441495,0.38004975166019267,falling,40.90909090909089,48.30714515481378,0,1.5810601116235385,long,1.6855193094518273,-2.9972548619604633,False,3.00005875,down,True
2026-08-24,build,BTCT,2026-08-24T13:27:00+00:00,2026-08-24T13:27:00.003525+00:00,1.69,False,5,2026-08-24T13:32:00.003525+00:00,2026-08-24T13:31:59.612381+00:00,2026-08-24T13:32:00+00:00,,-6.508875739644959,-0.591715976331364,-8.875739644970404,False,True,4.021703235765273,-0.0007962258642672734,-0.05008654867379213,falling,31.062499999999925,39.33881645460361,1,1.5810601116235385,long,1.682975774883018,-5.542312389463932,False,5.00005875,down,True
2026-08-24,build,BTCT,2026-08-24T13:27:00+00:00,2026-08-24T13:27:00.003525+00:00,1.69,False,10,2026-08-24T13:37:00.003525+00:00,2026-08-24T13:36:59.806320+00:00,2026-08-24T13:37:00+00:00,,-7.692307692307687,1.183431952662728,-9.467455621301768,False,True,2.300276085313152,-0.0005824752221909001,-0.03710033262362421,falling,21.052631578947395,41.92710988566197,2,1.722869938098559,short,1.6792620567192347,-6.506551867949617,False,10.000058749999999,down,True
2026-08-24,build,BTCT,2026-08-24T13:55:00+00:00,2026-08-24T13:55:00.494736+00:00,1.63,True,0,2026-08-24T13:55:00.494736+00:00,2026-08-24T13:55:00.494736+00:00,2026-08-24T13:55:00+00:00,,-0.6134969325153228,-0.6134969325153228,-0.6134969325153228,False,False,0.875931391296623,0.012831625847775543,0.7896385137092642,rising,96.15384615384623,59.61993237410584,3,1.4800945505587948,long,1.664888383919782,-2.3958593443885623,False,0.0082456,up,
2026-08-24,build,BTCT,2026-08-24T13:55:00+00:00,2026-08-24T13:55:00.494736+00:00,1.63,True,3,2026-08-24T13:58:00.494736+00:00,2026-08-24T13:57:59.788785+00:00,2026-08-24T13:58:00+00:00,,-1.8404907975460016,1.8404907975460238,-2.4539877300613355,False,False,0.881327553289755,0.013654015833915019,0.8507174974401881,falling,61.764705882352956,54.49451649328875,2,1.4800945505587948,long,1.663831964183804,-3.535931839887696,False,3.0082456,down,False
2026-08-24,build,BTCT,2026-08-24T13:55:00+00:00,2026-08-24T13:55:00.494736+00:00,1.63,True,5,2026-08-24T14:00:00.494736+00:00,2026-08-24T14:00:00.112686+00:00,2026-08-24T14:00:00+00:00,,-1.8404907975460016,1.8404907975460238,-2.4539877300613355,False,False,0.5103486836735016,0.010365089677620216,0.647453912025749,falling,59.352941176470615,53.750783752366345,2,1.482756582327106,long,1.6634855474435826,-3.7623138679962143,False,5.0082455999999995,down,False
2026-08-24,build,BTCT,2026-08-24T13:55:00+00:00,2026-08-24T13:55:00.494736+00:00,1.63,True,10,2026-08-24T14:05:00.494736+00:00,2026-08-24T14:05:00.432051+00:00,2026-08-24T14:05:00+00:00,,18.404907975460127,19.631901840490794,-2.4539877300613355,True,False,5.079873673882381,0.03345420009428956,1.724532197241588,rising,94.56756756756756,82.36653619493414,3,1.6716231648969462,long,1.673352019534405,15.928984299415937,True,10.0082456,up,False
2026-08-24,build,BTCT,2026-08-24T15:28:00+00:00,2026-08-24T15:28:00.598358+00:00,2.38,False,0,2026-08-24T15:28:00.598358+00:00,2026-08-24T15:28:00.598358+00:00,2026-08-24T15:28:00+00:00,,-0.42016806722687816,-0.42016806722687816,-0.42016806722687816,False,False,1.1767106649308305,0.005519241059987174,0.23238909726261786,rising,95.83333333333343,56.949559025048416,3,2.1685937790154544,long,2.058443712995247,15.378428130256294,True,0.009972633333333333,up,
2026-08-24,build,BTCT,2026-08-24T15:28:00+00:00,2026-08-24T15:28:00.598358+00:00,2.38,False,3,2026-08-24T15:31:00.598358+00:00,2026-08-24T15:30:59.146645+00:00,2026-08-24T15:31:00+00:00,,-3.7815126050420145,-0.42016806722687816,-5.042016806722693,False,True,0.6944419239513957,0.00306555882413334,0.13386135208651762,falling,25.083333333333325,48.08591119721804,0,2.1685937790154544,long,2.0620253226527865,11.060711759533405,True,3.009972633333333,down,False
2026-08-24,build,BTCT,2026-08-24T15:28:00+00:00,2026-08-24T15:28:00.598358+00:00,2.38,False,5,2026-08-24T15:33:00.598358+00:00,2026-08-24T15:32:56.775506+00:00,2026-08-24T15:33:00+00:00,,-3.7815126050420145,-0.42016806722687816,-5.042016806722693,False,True,0.5682526626537263,-0.0011367276795641254,-0.049610600076992334,falling,26.083333333333584,48.364444989792375,1,2.1685937790154544,long,2.0626036548149416,11.087750409594687,True,5.009972633333334,up,False
2026-08-24,build,BTCT,2026-08-24T15:28:00+00:00,2026-08-24T15:28:00.598358+00:00,2.38,False,10,2026-08-24T15:38:00.598358+00:00,2026-08-24T15:38:00.405187+00:00,2026-08-24T15:38:00+00:00,,-12.605042016806712,-0.42016806722687816,-22.2689075630252,False,True,1.042600598686978,-0.03115916524521134,-1.490869150488581,rising,45.283018867924504,39.240158346886524,3,2.358328163145612,short,2.0617242463646903,1.3714614689702698,True,10.009972633333332,up,False
2026-08-24,build,BTCT,2026-08-24T16:06:00+00:00,2026-08-24T16:06:00.301511+00:00,2.31,False,0,2026-08-24T16:06:00.301511+00:00,2026-08-24T16:06:00.301511+00:00,2026-08-24T16:06:00+00:00,,-0.43290043290044045,-0.43290043290044045,-0.43290043290044045,False,False,1.8701219760082906,0.009883995640270149,0.429720257391859,rising,88.29411764705893,61.142535135555036,3,2.0796709693064885,long,2.068143615656987,11.215680699685237,True,0.005025183333333333,up,
2026-08-24,build,BTCT,2026-08-24T16:06:00+00:00,2026-08-24T16:06:00.301511+00:00,2.31,False,3,2026-08-24T16:09:00.301511+00:00,2026-08-24T16:09:00.173911+00:00,2026-08-24T16:09:00+00:00,,0.43290043290042934,4.761904761904767,-0.43290043290044045,True,False,1.3086043576628386,0.017694220889478415,0.7625833249785983,falling,60.82142857142856,58.22223501120457,3,2.142726775445191,long,2.0718169900002468,11.99348259035773,True,3.0050251833333332,down,False
2026-08-24,build,BTCT,2026-08-24T16:06:00+00:00,2026-08-24T16:06:00.301511+00:00,2.31,False,5,2026-08-24T16:11:00.301511+00:00,2026-08-24T16:10:59.414569+00:00,2026-08-24T16:11:00+00:00,,0.43290043290042934,4.761904761904767,-0.43290043290044045,True,False,0.5945259164448335,0.012197573929383726,0.5246268356724182,falling,62.50000000000004,58.6264124802334,2,2.142726775445191,long,2.072297788849658,12.194300090944864,True,5.005025183333333,up,False
2026-08-24,build,BTCT,2026-08-24T16:06:00+00:00,2026-08-24T16:06:00.301511+00:00,2.31,False,10,2026-08-24T16:16:00.301511+00:00,2026-08-24T16:16:00.276480+00:00,2026-08-24T16:16:00+00:00,,-0.8658008658008698,4.761904761904767,-2.5974025974025983,True,False,0.6781325191666819,-0.002158255595546693,-0.09391478158246783,falling,26.722222222222094,54.72932791403206,1,2.142726775445191,long,2.073507767401317,10.831511515394965,True,10.005025183333334,up,False
