population,symbol,date,entry_time_et,entry_ts,entry_px,max_down_pct,low_time_et,minutes_to_low,entry_volume_ratio_20,entry_vs_vwap_pct,entry_macd_histogram,entry_macd_histogram_pct,entry_macd_direction,entry_stochastic,entry_rsi,entry_dot_count,entry_atr_trail,entry_atr_stop_vs_fill_pct,entry_atr_stop_position,scanner_confirm_time_et,scanner_age_minutes,scanner_confirm_path,scanner_rank_score,scanner_force_watchlist,scanner_price,scanner_day_volume,scanner_float_used,scanner_change_pct,scanner_reconfirm_seq,scanner_removal,scanner_removal_time_et,bar1_close_vs_entry_pct,bar1_close_above_entry,bar1_traded_above_entry,bar1_direction,bar1_running_low_pct,bar1_volume_ratio_20,bar1_macd_histogram,bar1_macd_histogram_pct,bar1_macd_direction,bar1_stochastic,bar1_rsi,bar1_dot_count,bar1_price_vs_vwap_pct,bar1_above_vwap,bar1_atr_stop_vs_price_pct,bar1_atr_stop_position,bar1_post_fill_trade_prints,bar1_missing_state,bar2_close_vs_entry_pct,bar2_close_above_entry,bar2_traded_above_entry,bar2_direction,bar2_running_low_pct,bar2_volume_ratio_20,bar2_macd_histogram,bar2_macd_histogram_pct,bar2_macd_direction,bar2_stochastic,bar2_rsi,bar2_dot_count,bar2_price_vs_vwap_pct,bar2_above_vwap,bar2_atr_stop_vs_price_pct,bar2_atr_stop_position,bar2_post_fill_trade_prints,bar2_missing_state,bar3_close_vs_entry_pct,bar3_close_above_entry,bar3_traded_above_entry,bar3_direction,bar3_running_low_pct,bar3_volume_ratio_20,bar3_macd_histogram,bar3_macd_histogram_pct,bar3_macd_direction,bar3_stochastic,bar3_rsi,bar3_dot_count,bar3_price_vs_vwap_pct,bar3_above_vwap,bar3_atr_stop_vs_price_pct,bar3_atr_stop_position,bar3_post_fill_trade_prints,bar3_missing_state,bar4_close_vs_entry_pct,bar4_close_above_entry,bar4_traded_above_entry,bar4_direction,bar4_running_low_pct,bar4_volume_ratio_20,bar4_macd_histogram,bar4_macd_histogram_pct,bar4_macd_direction,bar4_stochastic,bar4_rsi,bar4_dot_count,bar4_price_vs_vwap_pct,bar4_above_vwap,bar4_atr_stop_vs_price_pct,bar4_atr_stop_position,bar4_post_fill_trade_prints,bar4_missing_state,bar5_close_vs_entry_pct,bar5_close_above_entry,bar5_traded_above_entry,bar5_direction,bar5_running_low_pct,bar5_volume_ratio_20,bar5_macd_histogram,bar5_macd_histogram_pct,bar5_macd_direction,bar5_stochastic,bar5_rsi,bar5_dot_count,bar5_price_vs_vwap_pct,bar5_above_vwap,bar5_atr_stop_vs_price_pct,bar5_atr_stop_position,bar5_post_fill_trade_prints,bar5_missing_state,first_five_shape
never_touched_plus_1,PMI,2026-08-24,07:34:00,2026-08-24T11:34:00.855962+00:00,4.37,-2.0595,07:44:14,10.22,1.3344896220080278,-0.42556662412894797,0.02136906325503611,0.4901161297026631,rising,94.11764705882365,47.15927402849477,3,4.2437268599078966,-2.8895455398650682,below,04:16:49,197.19759936666665,PATH_C_EXTREME_MOVER,100.0,True,4.6,1013761,2338634,43.302,0,FADE,09:32:44,-0.006864988558352714,False,False,flat,-0.22883295194507935,0.6357561895397603,0.02274684757657916,0.5205585641252067,rising,99.8235294117646,48.66700684120352,3,-0.4249983488410103,False,-2.288910270125699,below,160,,-0.03432494279176357,False,False,up,-0.22883295194507935,0.6661410510879936,0.022801363979053836,0.5219495016379497,rising,98.92857142857139,48.48270205142182,3,-0.4448516767960431,False,-1.9918692837117113,below,160,,-0.22883295194507935,False,False,flat,-0.22883295194507935,0.5672630881378397,0.02150578597929459,0.49325197200216947,falling,91.66666666666686,47.12143645281919,3,-0.6319154151575135,False,-1.7571524708063446,below,101,,-0.22883295194507935,False,False,down,-0.22883295194507935,0.4255102801710989,0.019925345409509417,0.4570033350804911,falling,91.66666666666686,47.12143645281919,2,-0.6272567703268228,False,-1.5662724353606716,below,83,,-0.22883295194507935,False,False,flat,-0.22883295194507935,0.832328065161766,0.018203793913087737,0.41751820901577374,falling,91.65971643035883,47.12143645281919,1,-0.618388653937596,False,-1.4135684070041288,below,120,,never_reclaimed_entry
other_73,PMI,2026-08-24,08:02:02,2026-08-24T12:02:02.082785+00:00,4.34,-1.8433,08:06:40,4.65,4.054815503706338,-0.6097656457787703,0.0036337093653654104,0.08391938488141824,rising,87.09677419354861,55.29809588127281,3,4.158716492955514,-4.177039332822263,below,04:16:49,225.21804641666668,PATH_C_EXTREME_MOVER,100.0,True,4.6,1013761,2338634,43.302,0,FADE,09:32:44,-0.463133640553004,False,False,down,-0.691244239631339,1.0418493889765956,0.006954131337816766,0.16097898881494402,rising,80.58064516129024,53.58277688335825,3,-1.0602516775880866,False,-3.6500105473642797,below,106,,-0.4608294930875445,False,False,up,-0.691244239631339,0.20078006524792533,0.008860437548307426,0.20510272102563484,rising,80.64516129032292,53.59812423935027,3,-1.0559170202895651,False,-3.081977882140552,below,59,,-0.46543778801843017,False,False,up,-0.691244239631339,0.6123521989063888,0.009741131645001545,0.2254995982453249,rising,80.51612903225812,53.559981708115075,3,-1.054559675690614,False,-2.6277409974253096,below,56,,-0.691244239631339,False,False,down,-0.691244239631339,0.27775612388690674,0.009297972916251479,0.2157302300754404,falling,74.19354838709664,51.62145871963187,3,-1.2762588670362507,False,-2.2693857189193256,below,73,,-1.8433179723502335,False,False,down,-1.8433179723502335,0.6887131560028756,0.005461617950119391,0.128206994134258,falling,41.935483870967595,43.05859549148941,0,-2.4104994190879303,False,-1.1223127813479672,below,110,,never_reclaimed_entry
never_touched_plus_1,PMI,2026-08-24,08:50:03,2026-08-24T12:50:03.990114+00:00,4.32,-2.0833,08:55:34,5.5,0.9210974088058468,-0.9268498487413623,0.0008417334569610323,0.019509409131093575,rising,84.49999999999966,50.080360927943794,3,4.231394051680334,-2.0510636185108067,below,04:16:49,273.24983523333333,PATH_C_EXTREME_MOVER,100.0,True,4.6,1013761,2338634,43.302,0,FADE,09:32:44,0.23148148148146586,True,True,up,-0.11574074074073293,0.6826798746411274,0.003943432580054029,0.09107234595967735,rising,100.0,53.57590572290683,3,-0.6939655859821703,False,-1.7819805694164637,below,98,,0.23148148148146586,True,True,up,-0.11574074074073293,0.678590331686662,0.00584221026702423,0.1349240246425919,rising,90.90909090909106,53.575905722906846,3,-0.6909836368912736,False,-1.7489100906371013,below,68,,0.02777777777778212,True,True,down,-0.11574074074073293,0.31105140881514187,0.006312572017809687,0.14608377343815807,rising,82.90909090909109,51.21457223796547,3,-0.8911726712622303,False,-1.548824560876294,below,57,,0.23148148148146586,True,True,up,-0.11574074074073293,0.1974910858629955,0.006971776447258039,0.16101100340087848,rising,90.90909090909106,53.42523822619809,3,-0.6884060261375669,False,-1.4102955296012687,below,48,,-0.62268518518519,False,True,down,-0.6944444444444531,0.7387883337503823,0.004782429898490951,0.11139805498336752,falling,57.363636363636196,44.3500523942299,0,-1.5286999161018833,False,-0.5628985216215465,below,74,,sub_1pct_failed_bounce
other_73,PMI,2026-08-24,09:17:00,2026-08-24T13:17:00.592729+00:00,4.38,-1.8265,09:30:36,13.6,1.3645958986731002,0.5565293707087138,0.005685587416090739,0.1301049751965844,rising,100.0,61.74088679690816,3,4.279585493093623,-2.2925686508305287,below,04:16:49,300.19321215,PATH_C_EXTREME_MOVER,100.0,True,4.6,1013761,2338634,43.302,0,FADE,09:32:44,0.0,False,True,up,-0.22831050228310223,1.2603896389463038,0.006863692418621638,0.1567053063612246,rising,88.88888888888911,63.52665512355335,3,0.5539156032107639,True,-2.1308585736324437,below,133,,0.0,False,True,up,-0.22831050228310223,0.5813375947480942,0.007177361964017966,0.1638667115072595,rising,88.88888888888911,63.52665512355335,3,0.5524967970222061,True,-2.0195270415543587,below,149,,0.0,False,False,flat,-0.6849315068493178,1.2897642986649085,0.006916418376149822,0.15790909534588635,falling,88.88888888888911,63.52665512355335,3,0.5505925584851301,True,-2.0195270415543587,below,110,,-0.6757990867579999,False,False,up,-0.6849315068493178,0.8684996029246652,0.00440423073699186,0.10123737442515311,falling,55.999999999999844,54.17781994643538,0,-0.12869979944027943,False,-1.3528706422416437,below,85,,0.15753424657534154,True,True,up,-0.6849315068493178,0.36677290781801786,0.004821009413182194,0.10989558488185723,rising,96.55555555555569,61.668816243346036,3,0.7083454494798858,True,-2.173637065355516,below,54,,sub_1pct_failed_bounce
never_touched_plus_1,BTCT,2026-08-24,09:27:00,2026-08-24T13:27:00.003525+00:00,1.69,-8.8757,09:31:32,4.54,0.7816336196803785,0.25275949909455697,0.009256298730392156,0.5508062320971232,rising,83.75000000000011,60.06515512337497,3,1.5810601116235385,-6.446147241210731,below,07:46:11,100.81672541666667,PATH_C_EXTREME_MOVER,40.0,True,1.59,9557857,16976004,39.474,0,FADE,09:42:34,-1.183431952662728,False,False,down,-1.183431952662728,0.8964424005809196,0.009949925914881795,0.5958039469989099,rising,74.99999999999996,57.06471493731471,3,-0.9320598287888671,False,-5.325741818949781,below,294,,-2.9585798816568087,False,False,down,-3.4911242603550274,0.6413729056224123,0.008054913113055609,0.4911532386009517,falling,45.45454545454535,49.46227349012151,1,-2.7076548790079813,False,-3.593895632711064,below,397,,-3.2544378698224796,False,False,down,-4.142011834319515,0.8311539472206941,0.0062138134396441495,0.38004975166019267,falling,40.90909090909089,48.30714515481378,0,-2.9972548619604633,False,-3.2990757416796024,below,490,,-5.917159763313606,False,False,down,-5.917159763313606,2.734355360254434,0.0019361498673451244,0.12177043190849839,falling,0.0,39.39094590027953,0,-5.628982617466038,False,-0.5622571305950674,below,1061,,-5.934911242603558,False,False,down,-8.875739644970404,4.021703235765273,-0.0007962258642672734,-0.05008654867379213,falling,31.062499999999925,39.33881645460361,1,-5.542312389463932,False,-0.5434917516802806,below,1654,,never_reclaimed_entry
other_73,XPON,2026-08-24,09:34:00,2026-08-24T13:34:00.057978+00:00,8.75,-42.8571,10:06:27,32.46,2.849827835590959,13.340752353783714,0.011524464381850097,0.1318588602042345,rising,88.54114445319773,59.75612206608524,3,6.863251693003461,-21.56283779424616,below,08:34:07,59.88429963333333,PATH_C_EXTREME_MOVER,60.0,True,5.81,4773178,962335,69.141,0,,,-4.571428571428571,False,True,down,-11.998857142857144,3.010502012071287,0.013219932775935321,0.15832254821479427,rising,60.61018405786717,51.795045870125186,3,7.867407946346661,True,-17.805368946066334,below,11104,,-6.683428571428562,False,False,down,-11.998857142857144,1.4959505509318414,0.001734414953807096,0.021241548937038845,falling,47.375205901310615,48.49792708079738,2,5.349806874009833,True,-15.945087774904954,below,4631,,-7.599999999999996,False,False,down,-11.998857142857144,0.9854301067858671,-0.01073922529453749,-0.13282900797201594,falling,41.631454558476015,47.09674570453754,0,4.257949390020599,True,-15.111296314119226,below,3925,,-9.482285714285709,False,False,down,-11.998857142857144,0.9692516443585852,-0.028546428428816533,-0.3604210500715444,falling,29.83599512998638,44.26817699953086,0,2.092642127788391,True,-13.34606400005731,below,4334,,-9.085714285714285,False,False,down,-12.913142857142857,1.0438049857840392,-0.03597281718842721,-0.4522038615767091,falling,32.32113442669912,45.01741797840698,2,2.514854668323818,True,-13.724051627863476,below,4593,,sub_1pct_failed_bounce
other_73,BTCT,2026-08-24,09:55:00,2026-08-24T13:55:00.494736+00:00,1.63,-2.454,09:55:31,0.51,0.875931391296623,-2.0955389116020795,0.012831625847775543,0.7896385137092642,rising,96.15384615384623,59.61993237410584,3,1.4800945505587948,-9.196653339951233,below,09:49:29,5.524912266666666,PATH_C_EXTREME_MOVER,13.3,True,1.54,58054475,16976004,35.088,1,,,-1.834355828220846,False,False,down,-2.4539877300613355,1.1625813593509378,0.013242647774171269,0.8276137600257025,rising,77.00000000000013,54.874879829336805,3,-3.867603871657155,False,-7.499871848084827,below,792,,0.018404907975466678,True,True,up,-2.4539877300613355,1.8650124574499054,0.01489152806991382,0.9134225645533841,rising,76.64705882352949,59.12409928903301,3,-2.0306723307565333,False,-9.213362537030322,below,1169,,-1.5337423312883347,False,True,down,-2.4539877300613355,0.881327553289755,0.013654015833915019,0.8507174974401881,falling,61.764705882352956,54.49451649328875,2,-3.535931839887696,False,-7.782270993221507,below,585,,-1.8282208588956905,False,False,down,-2.4539877300613355,0.4820646114530105,0.011949382958292447,0.7467430920067771,falling,58.941176470588296,53.63640760605401,1,-3.8143621554447837,False,-7.505652383527384,below,314,,-1.7852760736196238,False,False,down,-2.4539877300613355,0.5103486836735016,0.010365089677620216,0.647453912025749,falling,59.352941176470615,53.750783752366345,2,-3.7623138679962143,False,-7.379812460047097,below,296,,sub_1pct_failed_bounce
other_73,XPON,2026-08-24,10:56:00,2026-08-24T14:56:00.226711+00:00,7.18,-21.727,11:33:00,37.0,2.0079370156104877,-5.702723445105762,0.045257843133682585,0.6329768270445116,rising,91.93548387096777,60.70409214855925,3,6.323464426969257,-11.929464805442102,below,08:34:07,141.88711185,PATH_C_EXTREME_MOVER,60.0,True,5.81,4773178,962335,69.141,0,,,-0.696378830083566,False,True,down,-2.506963788300831,2.926606231457027,0.050030398403106566,0.7016886171543698,rising,76.3888888888889,59.91159322469778,3,-6.3041662667793315,False,-11.31185936929513,below,3624,,-2.089136490250687,False,True,down,-2.646239554317542,1.1622601142943485,0.043898744940955255,0.6244487189325071,falling,62.50000000000004,55.976617544772886,3,-7.593108914806801,False,-10.05029264624101,below,2018,,-2.8328690807799317,False,False,down,-3.760445682451252,1.0110274200898701,0.034127825116422365,0.4891756029645151,falling,55.07709404083907,53.939283252439594,0,-8.269215549204445,False,-9.361803357376708,below,1519,,-3.344011142061276,False,False,down,-4.317548746518096,0.613885768829315,0.023576062172101543,0.3397176064799427,falling,44.599999999999945,52.52438214618432,0,-8.734391229001126,False,-8.882484949793845,below,1083,,0.18105849582172873,True,True,up,-4.317548746518096,1.3685181309964047,0.031528647096967455,0.43832402470412146,rising,83.53846153846149,60.26543663136242,3,-5.376143426616265,False,-10.9038951281901,below,2201,,sub_1pct_failed_bounce
never_touched_plus_1,BTCT,2026-08-24,11:28:00,2026-08-24T15:28:00.598358+00:00,2.38,-13.0252,11:33:49,5.81,1.1767106649308305,15.621330084214712,0.005519241059987174,0.23238909726261786,rising,95.83333333333343,56.949559025048416,3,2.1685937790154544,-8.88261432708175,below,09:49:29,98.5266393,PATH_C_EXTREME_MOVER,13.3,True,1.54,58054475,16976004,35.088,1,,,-0.8403361344537785,False,False,down,-2.5210084033613467,1.9111078043378547,0.007598753029801163,0.32198106058479503,rising,83.33333333333333,55.31523857422039,3,14.558444046177188,True,-8.110433092565483,below,1766,,-2.1008403361344463,False,False,down,-5.042016806722693,1.7745989484743618,0.006595408401526183,0.2830647382629263,falling,58.33333333333352,52.09521282015645,3,13.023490939127402,True,-6.927305621654323,below,1927,,-3.777310924369748,False,False,down,-5.042016806722693,0.6944419239513957,0.00306555882413334,0.13386135208651762,falling,25.083333333333325,48.08591119721804,0,11.060711759533405,True,-5.305716823917972,below,917,,-4.168067226890749,False,False,down,-5.042016806722693,0.3347021162417921,8.301892297581841e-05,0.003639903673089197,falling,17.33333333333363,47.17458524085419,0,10.597583148997947,True,-4.9195993065830335,below,418,,-3.7268907563025144,False,False,up,-5.042016806722693,0.5682526626537263,-0.0011367276795641254,-0.049610600076992334,falling,26.083333333333584,48.364444989792375,1,11.087750409594687,True,-5.355310128946266,below,621,,never_reclaimed_entry
other_73,DAIC,2026-08-24,11:55:00,2026-08-24T15:55:00.214528+00:00,2.28,-22.807,12:29:39,34.65,2.0852658894998677,27.466401122776183,0.024617780161945102,1.0758108710372372,rising,92.47560975609755,61.5780522403897,3,1.617743903200769,-29.046320035053984,below,09:44:37,130.38690880000001,PATH_C_EXTREME_MOVER,40.0,True,1.75,2497003,1210000,310.798,0,,,3.947368421052655,True,True,up,-3.50877192982455,1.0592692933041894,0.03735947799604626,1.5763492825335974,rising,100.00000000000001,63.450396863182725,3,31.492939745630256,True,-27.655902001661804,below,3719,,,,,,-3.50877192982455,,,,,,,,,,,,0,"strategy_bar,trade_prints",,,,,-3.50877192982455,,,,,,,,,,,,0,"strategy_bar,trade_prints",,,,,-3.50877192982455,,,,,,,,,,,,0,"strategy_bar,trade_prints",,,,,-3.50877192982455,,,,,,,,,,,,0,"strategy_bar,trade_prints",incomplete_first_five
