session_day_et,split,symbol,buy_signal_ts,entry_ts,entry_px,max_up_pct,max_down_pct,upside_bucket,touched_plus_1,minutes_to_plus_1,touched_plus_2,minutes_to_plus_2,touched_plus_3,minutes_to_plus_3,touched_plus_4,minutes_to_plus_4,peak_ts,post_peak_low_ts,post_peak_drawdown_pct,post_peak_low_vs_entry_pct
2026-08-25,build,AIXI,2026-08-25T17:36:00+00:00,2026-08-25T17:36:01.808671+00:00,1.25,2.400000000000002,-8.000000000000007,+2 to +3,True,1.6026579166666666,True,1.8234842666666669,False,,False,,2026-08-25T17:37:51.217727+00:00,2026-08-25T17:53:09.475570+00:00,-10.15625000000001,-8.000000000000007
2026-08-25,build,AIXI,2026-08-25T18:13:00+00:00,2026-08-25T18:13:01.160804+00:00,1.27,1.5748031496062964,-8.661417322834652,+1 to +2,True,1.9336397166666666,False,,False,,False,,2026-08-25T18:14:57.179187+00:00,2026-08-25T19:15:59.209617+00:00,-10.077519379844968,-8.661417322834652
2026-08-25,build,WVVIP,2026-08-25T16:38:00+00:00,2026-08-25T16:38:01.778848+00:00,5.6,0.8928571428571619,-8.571428571428562,below +1,False,,False,,False,,False,,2026-08-25T16:38:17.984250+00:00,2026-08-25T16:42:53.344706+00:00,-9.380530973451329,-8.571428571428562
2026-08-25,build,WVVIP,2026-08-25T19:42:00+00:00,2026-08-25T19:42:03.110480+00:00,3.5,-0.8571428571428563,-8.285714285714285,below +1,False,,False,,False,,False,,2026-08-25T19:59:03.655811+00:00,2026-08-25T19:59:42.265712+00:00,-4.034582132564846,-4.857142857142859
2026-08-26,build,CDTG,2026-08-26T19:28:00+00:00,2026-08-26T19:28:02.563357+00:00,1.3,-0.7692307692307665,-3.076923076923077,below +1,False,,False,,False,,False,,2026-08-26T19:28:02.563357+00:00,2026-08-26T19:28:02.596213+00:00,-2.3255813953488413,-3.076923076923077
2026-08-26,build,CRE,2026-08-26T12:58:00+00:00,2026-08-26T12:58:00.245641+00:00,6.98,2.005730659025784,-18.624641833810895,+2 to +3,True,0.10188245,True,0.12183498333333334,False,,False,,2026-08-26T12:58:07.555740+00:00,2026-08-26T13:02:53.731631+00:00,-20.2247191011236,-18.624641833810895
2026-08-26,build,CRE,2026-08-26T16:20:00+00:00,2026-08-26T16:20:00.032365+00:00,6.3,1.746031746031762,-4.761904761904756,+1 to +2,True,2.37700555,False,,False,,False,,2026-08-26T16:23:30.819061+00:00,2026-08-26T16:32:18.129252+00:00,-6.396255850234011,-4.761904761904756
2026-08-26,build,DAIC,2026-08-26T17:59:00+00:00,2026-08-26T17:59:00.708416+00:00,5.26,2.281368821292773,-9.695817490494296,+2 to +3,True,0.8933699666666667,True,1.0210018333333333,False,,False,,2026-08-26T18:00:01.968526+00:00,2026-08-26T18:03:30.349240+00:00,-11.710037174721188,-9.695817490494296
2026-08-26,build,XPON,2026-08-26T15:37:00+00:00,2026-08-26T15:37:00.315452+00:00,9.58,-0.8350730688935326,-9.707724425887266,below +1,False,,False,,False,,False,,2026-08-26T15:37:00.315452+00:00,2026-08-26T16:13:37.300011+00:00,-8.947368421052627,-9.707724425887266
2026-08-26,build,XPON,2026-08-26T17:34:00+00:00,2026-08-26T17:34:01.331290+00:00,8.29,2.1712907117008573,-3.136308805790111,+2 to +3,True,1.0993570499999998,True,1.1781259333333334,False,,False,,2026-08-26T17:35:12.018846+00:00,2026-08-26T18:00:32.472870+00:00,-5.194805194805207,-3.136308805790111
2026-08-26,build,YYGH,2026-08-26T12:57:00+00:00,2026-08-26T12:57:00.334133+00:00,1.95,3.076923076923066,-4.61538461538461,+3 to +4,True,1.8635709333333332,True,4.8028328,True,5.0405124,False,,2026-08-26T13:02:02.764877+00:00,2026-08-26T13:30:31.398866+00:00,-7.462686567164168,-4.61538461538461
2026-08-26,build,YYGH,2026-08-26T13:40:00+00:00,2026-08-26T13:40:00.202071+00:00,1.99,3.5175879396984966,-11.05527638190955,+3 to +4,True,3.0608114666666664,True,3.062118933333333,True,3.2150215500000003,False,,2026-08-26T13:43:15.416931+00:00,2026-08-26T13:56:23.608590+00:00,-14.077669902912627,-11.05527638190955
2026-08-26,build,YYGH,2026-08-26T14:33:00+00:00,2026-08-26T14:33:00.580863+00:00,1.95,4.102564102564088,-2.564102564102566,+4 to +5,True,2.6248317666666665,True,5.139809633333333,True,5.31848035,True,7.158113083333333,2026-08-26T14:40:10.067648+00:00,2026-08-26T14:58:33.988787+00:00,-6.4039408866995,-2.564102564102566
2026-08-26,build,YYGH,2026-08-26T15:31:00+00:00,2026-08-26T15:31:00.000437+00:00,2.03,2.9556650246305383,-7.881773399014769,+2 to +3,True,0.9609343166666666,True,0.97492805,False,,False,,2026-08-26T15:31:59.734865+00:00,2026-08-26T16:31:44.995756+00:00,-10.526315789473673,-7.881773399014769
2026-08-27,build,CELU,2026-08-27T19:42:00+00:00,2026-08-27T19:42:01.334896+00:00,2.14,0.0,-5.140186915887868,below +1,False,,False,,False,,False,,2026-08-27T19:42:21.574777+00:00,2026-08-27T19:50:30.705255+00:00,-5.140186915887868,-5.140186915887868
2026-08-27,build,MIMI,2026-08-27T15:30:00+00:00,2026-08-27T15:30:00.254017+00:00,2.69,4.460966542750944,-2.9739776951672847,+4 to +5,True,1.0061000166666667,True,1.0064910166666665,True,1.0066893333333333,True,17.9044798,2026-08-27T15:49:27.424633+00:00,2026-08-27T16:27:48.515556+00:00,-7.11743772241994,-2.9739776951672847
2026-08-27,build,PPCB,2026-08-27T13:33:00+00:00,2026-08-27T13:33:00.996009+00:00,4.13,-0.2421307506053183,-25.66585956416465,below +1,False,,False,,False,,False,,2026-08-27T13:33:01.060905+00:00,2026-08-27T13:48:15.571558+00:00,-25.485436893203893,-25.66585956416465
2026-08-27,build,PPCB,2026-08-27T15:00:00+00:00,2026-08-27T15:00:02.136566+00:00,2.84,3.169014084507049,-9.859154929577462,+3 to +4,True,13.552479416666667,True,13.559467416666667,True,15.889817316666667,False,,2026-08-27T15:15:55.525605+00:00,2026-08-27T15:38:30.884291+00:00,-12.627986348122866,-9.859154929577462
2026-08-27,build,PPCB,2026-08-27T17:53:00+00:00,2026-08-27T17:53:00.587918+00:00,2.14,3.738317757009346,-3.2710280373831946,+3 to +4,True,0.278971,True,1.6168995,True,1.8803742166666666,False,,2026-08-27T17:54:53.437409+00:00,2026-08-27T18:11:57.759519+00:00,-6.756756756756777,-3.2710280373831946
2026-08-27,build,PPCB,2026-08-27T18:16:00+00:00,2026-08-27T18:16:00.119097+00:00,2.22,1.3513513513513375,-4.054054054054069,+1 to +2,True,12.398849733333332,False,,False,,False,,2026-08-27T18:28:24.050081+00:00,2026-08-27T18:52:48.644757+00:00,-4.444444444444451,-3.1531531531531654
2026-08-27,build,PPCB,2026-08-27T19:11:00+00:00,2026-08-27T19:11:00.057224+00:00,2.28,4.385964912280715,-6.140350877192969,+4 to +5,True,0.9526702,True,1.0066293,True,6.568959883333333,True,6.683791116666667,2026-08-27T19:17:41.084691+00:00,2026-08-27T19:25:48.274685+00:00,-10.084033613445364,-6.140350877192969
2026-08-27,build,WNW,2026-08-27T12:04:00+00:00,2026-08-27T12:04:00.411794+00:00,3.4,0.8823529411764675,-3.2352941176470584,below +1,False,,False,,False,,False,,2026-08-27T12:04:19.864124+00:00,2026-08-27T12:29:25.364331+00:00,-4.081632653061229,-3.2352941176470584
2026-08-31,holdout,AEHL,2026-08-31T14:32:00+00:00,2026-08-31T14:32:00.134395+00:00,6.38,2.1943573667711602,-4.075235109717868,+2 to +3,True,0.0092517,True,10.059530599999999,False,,False,,2026-08-31T14:43:51.789557+00:00,2026-08-31T15:06:59.501667+00:00,-6.134969325153361,-4.075235109717868
2026-08-31,holdout,AEHL,2026-08-31T19:57:00+00:00,2026-08-31T19:57:00.065697+00:00,6.53,1.3782542113323082,-1.5313935681470214,+1 to +2,True,0.19823734999999998,False,,False,,False,,2026-08-31T19:57:11.988584+00:00,2026-08-31T19:58:36.365904+00:00,-2.8700906344410915,-1.5313935681470214
2026-08-31,holdout,NCRA,2026-08-31T16:25:00+00:00,2026-08-31T16:25:00.397911+00:00,3.05,2.9508196721311553,-10.819672131147529,+2 to +3,True,0.11509446666666667,True,0.4773916166666667,False,,False,,2026-08-31T16:25:29.047922+00:00,2026-08-31T16:47:03.637103+00:00,-13.375796178343947,-10.819672131147529
2026-08-31,holdout,NCRA,2026-08-31T18:36:00+00:00,2026-08-31T18:36:02.717829+00:00,2.99,2.6755852842809347,-16.387959866220747,+2 to +3,True,0.30228023333333337,True,11.131813833333332,False,,False,,2026-08-31T18:47:52.223689+00:00,2026-08-31T18:49:14.144808+00:00,-18.56677524429967,-16.387959866220747
2026-08-31,holdout,NCRA,2026-08-31T19:12:00+00:00,2026-08-31T19:12:02.357047+00:00,3.06,-0.326797385620925,-17.647058823529417,below +1,False,,False,,False,,False,,2026-08-31T19:12:02.362025+00:00,2026-08-31T19:33:37.644047+00:00,-17.377049180327862,-17.647058823529417
2026-08-31,holdout,NCRA,2026-08-31T19:57:00+00:00,2026-08-31T19:57:03.370460+00:00,2.89,2.768166089965396,-1.384083044982698,+2 to +3,True,0.41416348333333336,True,0.4270625666666667,False,,False,,2026-08-31T19:57:28.998281+00:00,2026-08-31T19:59:30.701238+00:00,-4.040404040404044,-1.384083044982698
2026-08-31,holdout,RDHL,2026-08-31T14:40:00+00:00,2026-08-31T14:40:02.694482+00:00,1.13,0.8849557522123908,-7.079646017699104,below +1,False,,False,,False,,False,,2026-08-31T15:06:28.898105+00:00,2026-08-31T15:24:19.616050+00:00,-6.140350877192969,-5.309734513274322
2026-08-31,holdout,RDHL,2026-08-31T17:03:00+00:00,2026-08-31T17:03:00.466251+00:00,1.1,1.81818181818183,-6.363636363636371,+1 to +2,True,0.8896994166666666,False,,False,,False,,2026-08-31T17:03:53.848216+00:00,2026-08-31T17:48:08.191603+00:00,-8.03571428571429,-6.363636363636371
2026-08-31,holdout,WETO,2026-08-31T16:21:00+00:00,2026-08-31T16:21:00.121548+00:00,10.7,-1.6822429906542036,-9.999999999999986,below +1,False,,False,,False,,False,,2026-08-31T16:21:00.121548+00:00,2026-08-31T16:31:32.920693+00:00,-8.460076045627362,-9.999999999999986
2026-08-31,holdout,YDDL,2026-08-31T13:35:00+00:00,2026-08-31T13:35:00.171569+00:00,2.57,1.945525291828809,-14.396887159533067,+1 to +2,True,0.11408593333333333,False,,False,,False,,2026-08-31T13:35:08.329248+00:00,2026-08-31T13:54:37.157298+00:00,-16.030534351145032,-14.396887159533067
2026-08-31,holdout,YDDL,2026-08-31T19:40:00+00:00,2026-08-31T19:40:00.885075+00:00,2.28,0.43859649122808264,-3.0701754385964897,below +1,False,,False,,False,,False,,2026-08-31T19:40:17.371784+00:00,2026-08-31T19:45:40.540685+00:00,-3.493449781659397,-3.0701754385964897
2026-09-01,holdout,BIAF,2026-09-01T18:50:00+00:00,2026-09-01T18:50:01.023077+00:00,6.84,1.023391812865504,-4.678362573099415,+1 to +2,True,27.268941416666667,False,,False,,False,,2026-09-01T19:17:17.159562+00:00,2026-09-01T19:54:43.787943+00:00,-5.643994211287994,-4.678362573099415
2026-09-01,holdout,RDAC,2026-09-01T19:06:00+00:00,2026-09-01T19:06:00.703983+00:00,6.58,3.951367781155013,-4.255319148936176,+3 to +4,True,9.034991499999999,True,32.440467133333335,True,39.588583566666664,False,,2026-09-01T19:55:30.531222+00:00,2026-09-01T19:58:16.954006+00:00,-5.555555555555558,-1.823708206686936
2026-09-01,holdout,SSM,2026-09-01T12:52:00+00:00,2026-09-01T12:52:00.103711+00:00,3.8,2.3684210526315974,-3.421052631578947,+2 to +3,True,34.832038516666664,True,34.93472791666667,False,,False,,2026-09-01T13:27:01.569532+00:00,2026-09-01T13:30:19.937275+00:00,-5.655526992287918,-3.421052631578947
2026-09-01,holdout,SSM,2026-09-01T14:44:00+00:00,2026-09-01T14:44:00.349362+00:00,4.09,1.9559902200489088,-6.845965770171148,+1 to +2,True,0.8477520166666667,False,,False,,False,,2026-09-01T14:45:02.209528+00:00,2026-09-01T14:48:19.534386+00:00,-8.633093525179858,-6.845965770171148
2026-09-01,holdout,SSM,2026-09-01T17:38:00+00:00,2026-09-01T17:38:08.983953+00:00,4.03,0.0,-3.2258064516129115,below +1,False,,False,,False,,False,,2026-09-01T17:47:33.439939+00:00,2026-09-01T17:54:49.165143+00:00,-3.2258064516129115,-3.2258064516129115
