day,symbol,population,entry_time_et,entry_price,entry_source,stop_pct,target_at_et,target_price,stop_at_et,stop_price,atr_bar_minute_et,atr_exit_at_et,atr_exit_price,exit_rule,exit_at_et,exit_price,return_pct,recovered_after_stop,target_answerable,stop_answerable,stop_on_reopen,answer,qualification
2026-08-26,CRE,PRIMARY,09:30:42,6.37,FROZEN FROM OPERATOR-APPROVED ROW,-1,09:30:58,6.690000,09:30:42,6.290000,11:01:00,11:02:00,6.760000,STOP,09:30:42,6.290000,-1.255886970172684458398744110,True,True,True,False,,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-26,CRE,PRIMARY,09:30:42,6.37,FROZEN FROM OPERATOR-APPROVED ROW,-2,09:30:58,6.690000,09:41:43,6.240000,11:01:00,11:02:00,6.760000,+5%,09:30:58,6.690000,5.023547880690737833594976500,,True,True,False,,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-26,CRE,PRIMARY,09:30:42,6.37,FROZEN FROM OPERATOR-APPROVED ROW,-3,09:30:58,6.690000,09:41:43,6.160000,11:01:00,11:02:00,6.760000,+5%,09:30:58,6.690000,5.023547880690737833594976500,,True,True,False,,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-26,CRE,PRIMARY,09:30:42,6.37,FROZEN FROM OPERATOR-APPROVED ROW,-4,09:30:58,6.690000,09:41:43,6.110000,11:01:00,11:02:00,6.760000,+5%,09:30:58,6.690000,5.023547880690737833594976500,,True,True,False,,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-26,CRE,PRIMARY,09:30:42,6.37,FROZEN FROM OPERATOR-APPROVED ROW,-5,09:30:58,6.690000,09:49:17,6.050000,11:01:00,11:02:00,6.760000,+5%,09:30:58,6.690000,5.023547880690737833594976500,,True,True,False,,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-26,CRE,PRIMARY,09:30:42,6.37,FROZEN FROM OPERATOR-APPROVED ROW,-6,09:30:58,6.690000,09:49:23,5.980000,11:01:00,11:02:00,6.760000,+5%,09:30:58,6.690000,5.023547880690737833594976500,,True,True,False,,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-26,CRE,PRIMARY,09:30:42,6.37,FROZEN FROM OPERATOR-APPROVED ROW,-7,09:30:58,6.690000,09:49:23,5.920000,11:01:00,11:02:00,6.760000,+5%,09:30:58,6.690000,5.023547880690737833594976500,,True,True,False,,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-26,CRE,PRIMARY,09:30:42,6.37,FROZEN FROM OPERATOR-APPROVED ROW,-8,09:30:58,6.690000,09:49:23,5.860000,11:01:00,11:02:00,6.760000,+5%,09:30:58,6.690000,5.023547880690737833594976500,,True,True,False,,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-28,QNRX,PRIMARY,09:30:10,7.25,FROZEN FROM OPERATOR-APPROVED ROW,-1,09:30:19,7.620000,09:30:24,7.170000,14:04:00,14:05:31,6.920000,+5%,09:30:19,7.620000,5.103448275862068965517241400,,True,True,False,,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-28,QNRX,PRIMARY,09:30:10,7.25,FROZEN FROM OPERATOR-APPROVED ROW,-2,09:30:19,7.620000,09:30:24,7.100000,14:04:00,14:05:31,6.920000,+5%,09:30:19,7.620000,5.103448275862068965517241400,,True,True,False,,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-28,QNRX,PRIMARY,09:30:10,7.25,FROZEN FROM OPERATOR-APPROVED ROW,-3,09:30:19,7.620000,09:30:24,7.030000,14:04:00,14:05:31,6.920000,+5%,09:30:19,7.620000,5.103448275862068965517241400,,True,True,False,,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-28,QNRX,PRIMARY,09:30:10,7.25,FROZEN FROM OPERATOR-APPROVED ROW,-4,09:30:19,7.620000,10:08:34,6.960000,14:04:00,14:05:31,6.920000,+5%,09:30:19,7.620000,5.103448275862068965517241400,,True,True,False,,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-28,QNRX,PRIMARY,09:30:10,7.25,FROZEN FROM OPERATOR-APPROVED ROW,-5,09:30:19,7.620000,10:08:34,6.880000,14:04:00,14:05:31,6.920000,+5%,09:30:19,7.620000,5.103448275862068965517241400,,True,True,False,,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-28,QNRX,PRIMARY,09:30:10,7.25,FROZEN FROM OPERATOR-APPROVED ROW,-6,09:30:19,7.620000,10:08:34,6.810000,14:04:00,14:05:31,6.920000,+5%,09:30:19,7.620000,5.103448275862068965517241400,,True,True,False,,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-28,QNRX,PRIMARY,09:30:10,7.25,FROZEN FROM OPERATOR-APPROVED ROW,-7,09:30:19,7.620000,10:08:34,6.740000,14:04:00,14:05:31,6.920000,+5%,09:30:19,7.620000,5.103448275862068965517241400,,True,True,False,,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-28,QNRX,PRIMARY,09:30:10,7.25,FROZEN FROM OPERATOR-APPROVED ROW,-8,09:30:19,7.620000,10:08:34,6.660000,14:04:00,14:05:31,6.920000,+5%,09:30:19,7.620000,5.103448275862068965517241400,,True,True,False,,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-31,AEHL,PRIMARY,09:30:13,6.76,FROZEN FROM OPERATOR-APPROVED ROW,-1,09:30:35,7.110000,09:35:35,6.690000,09:41:00,09:42:00,6.160000,+5%,09:30:35,7.110000,5.177514792899408284023668600,,True,True,False,,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
