session_day_et,symbol,policy,entry_slot,entry_mode,order_type,scanner_window_start,scanner_window_end,segment_id,arm_bar_ts_ms,signal_ts,entry_ts,entry_px,target_px,floor_px,exit_trigger_ts,exit_ts,exit_px,exit_reason,ret_pct,duration_seconds,mfe_pct,mae_pct,first_plus_1_ts,first_plus_2_ts,first_minus_1_ts,first_minus_2_ts,quotes_observed
2026-09-01,BIAF,target+1_floor+0,first,resting,STOP_LIMIT,2026-09-01T12:07:07+00:00,,1788278100000,0,2026-09-01T16:38:00+00:00,2026-09-01T16:39:33.085000+00:00,6.53,6.5953,6.53,2026-09-01T16:39:33.149343+00:00,2026-09-01T16:39:33.150322+00:00,6.47,floor,-0.9188361408882159,0.065322,0.0,-0.9188361408882159,,,,,2
2026-09-01,BIAF,target+1_floor+0,reclaim,resting,STOP_LIMIT,2026-09-01T12:07:07+00:00,,1788278100000,1788280920000,2026-09-01T16:46:00+00:00,2026-09-01T16:47:38.131000+00:00,6.62,6.6862,6.62,2026-09-01T16:47:39.206912+00:00,2026-09-01T16:47:39.207212+00:00,6.53,floor,-1.3595166163141972,1.076212,0.0,-1.3595166163141972,,,2026-09-01T16:47:39.206912+00:00,,2
2026-09-01,BIAF,target+1_floor+0,first,resting,STOP_LIMIT,2026-09-01T12:07:07+00:00,,1788285300000,0,2026-09-01T18:30:00+00:00,2026-09-01T18:30:13.361000+00:00,6.75,6.8175,6.75,2026-09-01T18:30:15.044109+00:00,2026-09-01T18:30:19.281452+00:00,6.69,floor,-0.8888888888888832,5.920452,0.0,-1.481481481481476,,,2026-09-01T18:30:15.044109+00:00,,2
2026-09-01,BIAF,target+1_floor+0,reclaim,resting,STOP_LIMIT,2026-09-01T12:07:07+00:00,,1788285300000,1788288540000,2026-09-01T18:52:00+00:00,2026-09-01T19:06:47.347000+00:00,6.85,6.9185,6.85,2026-09-01T19:06:47.358353+00:00,2026-09-01T19:06:47.442329+00:00,6.75,floor,-1.459854014598535,0.095329,0.0,-1.459854014598535,,,2026-09-01T19:06:47.358353+00:00,,2
2026-09-01,BIAF,target+2_floor-2,first,resting,limit,2026-09-01T12:07:07+00:00,,1788267540000,0,2026-09-01T13:00:26.214000+00:00,2026-09-01T13:00:26.214000+00:00,6.7,6.8340000000000005,6.566,2026-09-01T13:01:40.447864+00:00,2026-09-01T13:01:40.464534+00:00,6.55,floor,-2.238805970149259,74.250534,0.4477611940298544,-2.238805970149259,,,2026-09-01T13:01:28.307592+00:00,2026-09-01T13:01:40.447864+00:00,522
2026-09-01,BIAF,target+2_floor-2,first,resting,limit,2026-09-01T12:07:07+00:00,,1788267540000,0,2026-09-01T13:02:22.382000+00:00,2026-09-01T13:02:22.382000+00:00,6.7,6.8340000000000005,6.566,2026-09-01T13:03:27.497898+00:00,2026-09-01T13:03:27.499127+00:00,6.56,floor,-2.0895522388059784,65.117127,0.5970149253731348,-2.0895522388059784,,,2026-09-01T13:03:13.080815+00:00,2026-09-01T13:03:27.497898+00:00,436
2026-09-01,BIAF,target+2_floor-2,reclaim,reactive,limit,2026-09-01T12:07:07+00:00,,1788267540000,1788267720000,2026-09-01T13:07:47.323000+00:00,2026-09-01T13:07:47.323000+00:00,6.82,6.9564,6.6836,2026-09-01T13:13:36.432673+00:00,2026-09-01T13:13:36.433212+00:00,6.67,floor,-2.1994134897360755,349.110212,1.7595307917888579,-2.1994134897360755,2026-09-01T13:08:23.012496+00:00,,2026-09-01T13:07:47.843293+00:00,2026-09-01T13:13:36.432673+00:00,2092
2026-09-01,BIAF,target+2_floor-2,first,resting,STOP_LIMIT,2026-09-01T12:07:07+00:00,,1788271500000,0,2026-09-01T15:31:00+00:00,2026-09-01T15:31:53.572000+00:00,6.6,6.731999999999999,6.468,2026-09-01T15:33:22.544201+00:00,2026-09-01T15:33:22.544201+00:00,6.731999999999999,target,1.9999999999999951,88.972201,2.12121212121213,-1.5151515151515098,2026-09-01T15:33:19.820746+00:00,2026-09-01T15:33:22.544201+00:00,2026-09-01T15:31:54.272293+00:00,,492
2026-09-01,BIAF,target+2_floor-2,reclaim,resting,STOP_LIMIT,2026-09-01T12:07:07+00:00,,1788271500000,1788276660000,2026-09-01T15:34:00+00:00,2026-09-01T15:34:09.703000+00:00,6.8,6.936,6.664,2026-09-01T15:34:23.031626+00:00,2026-09-01T15:34:23.032807+00:00,6.65,floor,-2.2058823529411686,13.329807,0.0,-2.2058823529411686,,,2026-09-01T15:34:11.507038+00:00,2026-09-01T15:34:23.031626+00:00,107
2026-09-01,BIAF,target+2_floor-2,first,resting,STOP_LIMIT,2026-09-01T12:07:07+00:00,,1788278100000,0,2026-09-01T16:38:00+00:00,2026-09-01T16:39:33.085000+00:00,6.53,6.6606000000000005,6.3994,2026-09-01T16:39:40.872931+00:00,2026-09-01T16:39:40.873136+00:00,6.42,floor,-1.68453292496172,7.788136,0.0,-2.6033690658499222,,,2026-09-01T16:39:40.869534+00:00,2026-09-01T16:39:40.872931+00:00,42
