session_day_et,symbol,entry_ts,entry_slot,entry_mode,entry_px,won,ret_pct,first_bid_ret_pct,future_mfe_pct,future_mae_pct,future_reached_plus_1,future_reached_plus_2,future_reached_plus_5,mae_before_plus_1_pct,mae_before_plus_2_pct,mae_before_plus_5_pct,seconds_to_plus_1,seconds_to_plus_2,seconds_to_plus_5,log_entry_price,spread_pct,minutes_since_0700,scanner_age_min,confirm_rank_score,log_confirm_day_volume,log_float_used,confirm_change_pct,vwap_dist_pct,macd_pct,histogram_pct,macd_delta_pct,macd_increasing,macd_above_signal,poly_volume_ratio_20,poly_volume_5_vs_prev_5,schwab_volume_ratio_5,is_reclaim,is_reactive,entry_sequence
2026-08-24,BTCT,2026-08-24T13:26:57.301000+00:00,first,resting,1.68,False,-2.380952380952383,0.0,63.095238095238116,-13.095238095238093,True,True,True,-8.333333333333327,-13.095238095238093,-13.095238095238093,483.886781,2177.079964,2221.141279,0.42813479402878873,0.0,146.95501666666667,100.77168333333334,40.0,6.980360573969402,7.229835494471502,39.474,24.039965975443657,0.31019124047780594,0.35528195399630375,-0.007850039787362255,0.0,1.0,0.882510281186265,1.0245195420157964,0.9279001122740936,0.0,0.0,1.0
2026-08-24,BTCT,2026-08-24T13:54:55.941000+00:00,first,resting,1.63,False,-2.453987730061338,-0.6134969325153244,68.09815950920249,-2.453987730061338,True,True,True,-2.453987730061338,-2.453987730061338,-2.453987730061338,97.775195,428.682324,498.439964,0.41995574848975786,0.6134969325153244,174.93235,5.449016666666666,13.3,7.763835709469281,7.229835494471502,35.088,3.453770804933265,0.352209583498562,0.6073132497495225,0.16552795569814757,1.0,1.0,0.20685188570952995,1.1376837493514729,1.1462816948900014,0.0,0.0,2.0
2026-08-24,BTCT,2026-08-24T14:02:04.644000+00:00,reclaim,resting,1.67,True,0.9999999999999962,0.0,64.07185628742516,-0.5988023952095813,True,True,True,-0.5988023952095813,-0.5988023952095813,-0.5988023952095813,69.704536,69.730971,69.80146,0.4265112613645752,0.5988023952095813,182.0774,12.594066666666667,13.3,7.763835709469281,7.229835494471502,35.088,5.4159002466220025,1.1237493675436643,0.11496637295885835,0.10452329531672504,1.0,1.0,2.2821593329212506,1.8079370980906349,2.1573461338796656,1.0,0.0,3.0
2026-08-24,BTCT,2026-08-24T15:17:42.456000+00:00,first,resting,2.37,False,-1.6877637130801704,-0.8438818565400852,2.1097046413502034,-27.004219409282705,True,True,False,-21.940928270042193,-21.940928270042193,,2923.85202,2923.856709,,0.5276299008713387,0.421940928270052,257.7076,88.22426666666667,13.3,7.763835709469281,7.229835494471502,35.088,5.451762322724623,0.47028506812184817,0.2987135951887058,0.05424179151869618,1.0,1.0,0.4534330554416241,0.6610666094108709,0.8618403235562648,0.0,0.0,4.0
2026-08-24,BTCT,2026-08-24T15:27:56.995000+00:00,first,resting,2.38,False,-2.1008403361344463,-1.6806722689075646,1.6806722689075646,-27.310924369747898,True,False,False,-22.268907563025202,,,2309.315182,,,0.5289167002776547,0.4201680672268818,267.9499166666667,98.46658333333333,13.3,7.763835709469281,7.229835494471502,35.088,5.796166885500311,-0.10868947085278995,-0.040357582635227714,0.010175640183089734,1.0,0.0,0.609849608336534,0.860577139686753,1.5224684941621003,0.0,0.0,5.0
2026-08-24,BTCT,2026-08-24T15:59:00.938000+00:00,first,resting,2.3,False,-2.173913043478253,-0.4347826086956429,5.2173913043478315,-24.78260869565217,True,True,True,-6.52173913043478,-6.52173913043478,-6.52173913043478,431.199271,438.294247,445.374709,0.5185139398778874,0.4347826086956429,299.0156333333333,129.5323,13.3,7.763835709469281,7.229835494471502,35.088,2.7999033670804363,1.223568508328087,0.6225212793795817,0.2086641315958978,1.0,1.0,1.428822959318292,3.473519304629068,1.7982382218057342,0.0,0.0,6.0
2026-08-24,BTCT,2026-08-24T17:44:34.414000+00:00,reclaim,resting,2.13,True,1.0000000000000044,-0.9389671361502356,3.286384976525835,-18.779342723004692,True,True,False,-0.9389671361502356,-0.9389671361502356,,22.839947,35.700679,,0.49554433754644844,0.4694835680751074,404.5735666666667,235.09023333333334,13.3,7.763835709469281,7.229835494471502,35.088,-4.60806861781942,0.4425499442678227,0.11808633054278786,0.051405535526048825,1.0,1.0,1.6440475676919317,0.7302544474829877,3.357314928181624,1.0,0.0,7.0
2026-08-24,BTCT,2026-08-24T18:11:02.196000+00:00,first,resting,2.06,False,-2.42718446601943,-0.4854368932038947,0.4854368932038731,-16.019417475728158,False,False,False,,,,,,,0.48572142648158,0.4854368932038947,431.0366,261.5532666666667,13.3,7.763835709469281,7.229835494471502,35.088,-7.255658802970627,-0.3490569778513588,0.740245177702714,0.5433692501030815,1.0,1.0,2.0337786527170305,0.44181411091614514,1.6409163111290908,0.0,0.0,8.0
2026-08-24,BTCT,2026-08-24T18:46:14.436000+00:00,first,resting,1.95,False,-2.051282051282053,-0.5128205128205132,0.5128205128205132,-11.282051282051281,False,False,False,,,,,,,0.46982201597816303,0.5128205128205132,466.24060000000003,296.7572666666667,13.3,7.763835709469281,7.229835494471502,35.088,-11.874385985815824,-0.050231798182369544,0.2713440056612657,0.1535870623900841,1.0,1.0,1.3972101096481944,4.424158117038404,0.5736405918043141,0.0,0.0,9.0
2026-08-24,BTCT,2026-08-24T19:15:33.876000+00:00,reclaim,resting,1.97,False,-2.0304568527918803,-0.5076142131979701,-0.5076142131979701,-12.182741116751268,False,False,False,,,,,,,0.47275644931721233,0.5076142131979701,495.5646,326.0812666666667,13.3,7.763835709469281,7.229835494471502,35.088,-10.81481942150537,-0.018033717522893462,0.06860740836425412,0.09630932664436023,1.0,1.0,3.6346966381449843,3.3318064130651264,9.44413235211505,1.0,0.0,10.0
2026-08-24,BTCT,2026-08-24T19:43:51.469000+00:00,first,resting,1.87,False,-2.1390374331550817,-0.5347593582887704,0.0,-7.486631016042787,False,False,False,,,,,,,0.4578818967339924,0.5347593582887704,523.8578166666667,354.37448333333333,13.3,7.763835709469281,7.229835494471502,35.088,-15.098892961082608,-0.7501582571418748,0.1448057751059709,0.2558786587547601,1.0,1.0,6.412730186497291,1.0015516388999743,3.0655282863233673,0.0,0.0,11.0
2026-08-24,DAIC,2026-08-24T15:54:34.573000+00:00,first,resting,2.25,False,-2.2222222222222143,-0.8888888888888897,39.55555555555556,-27.111111111111114,True,True,True,-3.111111111111104,-3.111111111111104,-3.111111111111104,19.353452,20.639212,57.191111,0.5118833609788744,0.444444444444435,294.57621666666665,129.95955,40.0,6.397419238056809,6.0827857292373615,310.798,28.17496938061653,3.714046601878677,0.20431207238396876,0.5649478339192424,1.0,1.0,1.5889039426089826,1.93115033844637,2.5430270161395603,0.0,0.0,1.0
2026-08-24,DAIC,2026-08-24T17:07:42.376000+00:00,reclaim,reactive,2.98,False,-1.0067114093959666,-0.3355704697986506,5.369127516778528,-44.966442953020135,True,True,True,-26.174496644295296,-26.174496644295296,-26.174496644295296,1835.213588,3036.48893,3406.19792,0.5998830720736879,1.0067114093959666,367.7062666666667,203.0896,40.0,6.397419238056809,6.0827857292373615,310.798,54.998096239743255,5.687396717196422,1.6315040116368844,0.5838961550218281,1.0,1.0,0.16737868978358758,0.9121513489404406,0.5290070062012011,1.0,1.0,2.0
2026-08-24,LUCY,2026-08-24T19:59:30.749000+00:00,reclaim,resting,1.13,False,-2.654867256637151,-1.7699115044247606,-0.8849557522123707,-3.5398230088495417,False,False,False,,,,,,,0.3283796034387377,0.8849557522123707,539.5124833333333,382.54581666666667,70.0,7.813961679915733,6.934962645677547,56.748,5.354118326153288,1.1053284385449997,0.053381643725293255,-0.04647035469380174,0.0,1.0,0.819836120838522,0.4186376046264314,1.3457641080608984,1.0,0.0,1.0
2026-08-24,PMI,2026-08-24T11:33:49.292000+00:00,first,resting,4.37,False,-2.0594965675057177,-0.2288329519450752,20.594965675057196,-5.949656750572077,True,True,True,-4.1189931350114355,-4.1189931350114355,-5.949656750572077,2308.865767,6638.226055,9168.890903,0.7299742856995556,0.2288329519450752,33.821533333333335,197.00486666666666,100.0,6.0059360080359205,6.368962445043238,43.302,38.21342907055722,0.23784898552234846,0.3781540883431558,0.07413163520754477,1.0,1.0,0.4985546740092066,1.9845797692850977,1.6904427695218334,0.0,0.0,1.0
2026-08-24,PMI,2026-08-24T12:11:34.390000+00:00,reclaim,reactive,4.4,False,-2.2727272727272845,-0.22727272727274261,19.772727272727252,-6.590909090909092,True,True,True,-3.8636363636363615,-3.8636363636363615,-6.590909090909092,4372.929064,4420.945417,8460.499,0.7323937598229685,0.22727272727274261,71.57316666666667,234.7565,100.0,6.0059360080359205,6.368962445043238,43.302,39.16226267973725,0.3002150295808221,0.17062431083627724,0.10792485474513117,1.0,1.0,0.831302903965203,2.8243156715223305,2.8447056975282785,1.0,1.0,2.0
2026-08-24,PMI,2026-08-24T13:24:27.770000+00:00,reclaim,reactive,4.48,True,1.0000000000000087,-0.4464285714285817,17.63392857142855,-8.258928571428573,True,True,True,-0.8928571428571435,-8.258928571428573,-8.258928571428573,211.522471,2523.575713,4089.343905,0.7387805584843692,0.22321428571430074,144.46283333333335,307.64616666666666,100.0,6.0059360080359205,6.368962445043238,43.302,41.69248563755066,0.4576677327671707,0.11550223648710757,0.08943089902852423,1.0,1.0,3.8950554994954594,1.686592828604663,2.858677889458485,1.0,1.0,3.0
