event,date_et,symbol,fill_time_et,fill_price,stamped_flip_level,raw_recalculated_atr_sell_et,recalculated_atr_sell_et,sell_deferred_from_halt,halt_windows_in_measurement,outcome,plus5_touch_et,minus8_touch_et,touch_order,trigger_time_et,exit_bid,high_bid_pct_time,low_bid_pct_time,event_return_pct,actual_exit_time_et,actual_exit_price,actual_return_pct,actual_exit_note,dependency,plus5_no_stop_return_pct,plus10_no_stop_return_pct,window,bid_print_gate
1,2026-08-24,PMI,Schwab: 07:32:02.000; Webull: 07:32:04.446,Schwab: 4.3600; Webull: 4.3600,Schwab: 4.3581; Webull: 4.3581,07:46:00.000,07:46:00.000,no,0,exited on ATR flip,Schwab: NA; Webull: NA,Schwab: NA; Webull: NA,Schwab: not both touched; Webull: not both touched,Schwab: 07:46:02.625; Webull: 07:46:02.625,Schwab: 4.3000; Webull: 4.3000,Schwab: +0.4587% @ 7.456m; Webull: +0.4587% @ 7.415m,Schwab: -1.8349% @ 12.204m; Webull: -1.8349% @ 12.164m,-1.3761,Schwab: 07:46:02.000; Webull: 07:46:04.045,Schwab: 4.3003; Webull: 4.3000,-1.3716,Schwab: CW_FLIP; Webull: CW_FLIP,depends on recalculated ATR SELL endpoint,-1.3761,-1.3761,actual resting fill -> recalculated ATR SELL; 16:00 backstop,Schwab: bid=4.3800 print=4.3900; Webull: bid=4.3800 print=4.3900
2,2026-08-24,BTCT,Webull: 09:26:59.338,Webull: 1.6893,Webull: 1.6765,09:33:00.000,09:33:00.000,no,0,exited at -8%,Webull: NA,Webull: 09:31:31.114,Webull: not both touched,Webull: 09:31:31.114,Webull: 1.5500,Webull: -0.5505% @ 0.003m,Webull: -8.8380% @ 4.551m,-8.2460,Webull: 09:30:39.103,Webull: 1.6013,-5.2093,Webull: CW_HARD_STOP,endpoint-independent,-7.0621,-7.0621,actual resting fill -> recalculated ATR SELL; 16:00 backstop,Webull: bid=1.6800 print=1.6900
3,2026-08-24,XPON,Schwab: 09:33:25.000; Webull: 09:33:25.665,Schwab: 8.7200; Webull: 8.7150,Schwab: 8.7173; Webull: 8.7173,10:09:00.000,10:09:00.000,no,2,exited at -8%,Schwab: NA; Webull: NA,Schwab: 09:34:37.041; Webull: 09:34:37.044,Schwab: not both touched; Webull: not both touched,Schwab: 09:34:37.041; Webull: 09:34:37.044,Schwab: 8.0200; Webull: 8.0100,Schwab: +1.8349% @ 0.175m; Webull: +1.8933% @ 0.164m,Schwab: -42.6606% @ 33.049m; Webull: -42.6277% @ 33.038m,-8.0482,Schwab: 09:33:35.000; Webull: NA,Schwab: 8.8900; Webull: NA,NA,Schwab: native OCO target; Webull: broker fills close only 0 of 1.00000000 shares,endpoint-independent,-23.8386,-23.8386,actual resting fill -> recalculated ATR SELL; 16:00 backstop,Schwab: bid=8.8800 print=8.9000; Webull: bid=8.8800 print=8.9000
4,2026-08-24,BTCT,Webull: 09:54:54.944,Webull: 1.6300,Webull: 1.6343,11:11:00.000,11:11:00.000,no,1,exited at +5%,Webull: 10:03:14.380,Webull: NA,Webull: not both touched,Webull: 10:03:14.380,Webull: 1.7200,Webull: +68.0982% @ 32.438m,Webull: -2.4540% @ 0.606m,+5.5215,Webull: NA,Webull: NA,NA,Webull: broker fills close only 0 of 1.00000000 shares,endpoint-independent,+5.5215,+10.4294,actual resting fill -> recalculated ATR SELL; 16:00 backstop,Webull: bid=2.7400 print=2.7500
5,2026-08-24,XPON,Schwab: 10:54:00.000,Schwab: 7.1191,Schwab: 7.1226,12:25:00.000,12:25:00.000,no,2,exited at +5%,Schwab: 11:07:54.171,Schwab: 11:33:00.383,Schwab: +5 first,Schwab: 11:07:54.171,Schwab: 7.4800,Schwab: +29.7917% @ 31.949m,Schwab: -21.0574% @ 39.006m,+5.0695,Schwab: 10:56:32.000,Schwab: 7.2700,+2.1196,Schwab: native OCO target,endpoint-independent,+5.0695,+10.1263,actual resting fill -> recalculated ATR SELL; 16:00 backstop,Schwab: bid=9.2400 print=9.2600
6,2026-08-24,DAIC,Webull: 11:12:20.955; Schwab: 11:12:21.000,Webull: 1.9399; Schwab: 1.9400,Webull: 1.9387; Schwab: 1.9387,11:37:00.000,11:41:47.333,yes,4,exited at +5%,Webull: 11:14:04.039; Schwab: 11:14:04.039,Webull: 11:20:45.719; Schwab: 11:20:45.719,Webull: +5 first; Schwab: +5 first,Webull: 11:14:04.039; Schwab: 11:14:04.039,Webull: 2.0400; Schwab: 2.0400,Webull: +20.1093% @ 13.896m; Schwab: +20.1031% @ 13.895m,Webull: -32.4707% @ 24.156m; Schwab: -32.4742% @ 24.155m,+5.1564,Webull: NA; Schwab: 11:15:27.000,Webull: NA; Schwab: 2.1200,NA,Webull: broker fills close only 0 of 1.00000000 shares; Schwab: native OCO target,endpoint-independent,+5.1564,+9.2802,actual resting fill -> recalculated ATR SELL; 16:00 backstop,Webull: bid=2.3300 print=2.3500; Schwab: bid=2.3300 print=2.3500
7,2026-08-24,DAIC,Schwab: 11:54:34.000,Schwab: 2.2487,Schwab: 2.2478,12:38:00.000,12:38:00.000,no,5,exited at +5%,Schwab: 11:55:31.764,Schwab: 12:05:46.797,Schwab: +5 first,Schwab: 11:55:31.764,Schwab: 2.3700,Schwab: +13.3989% @ 11.213m,Schwab: -43.5229% @ 43.195m,+5.3942,Schwab: 12:56:10.000,Schwab: 2.5300,+12.5094,Schwab: native OCO target,endpoint-independent,+5.3942,-15.9514,actual resting fill -> recalculated ATR SELL; 16:00 backstop,Schwab: bid=2.5500 print=2.5900
8,2026-08-24,DAIC,Schwab: 12:56:10.000,Schwab: 2.4800,Schwab: 2.4837,14:33:00.000,14:33:00.000,no,11,exited at +5%,Schwab: 12:56:50.187,Schwab: 13:29:40.008,Schwab: +5 first,Schwab: 12:56:50.187,Schwab: 2.6200,Schwab: +25.8065% @ 68.602m,Schwab: -5.6452% @ 33.501m,+5.6452,Schwab: 14:10:03.000,Schwab: 2.8200,+13.7097,Schwab: native OCO target,endpoint-independent,+5.6452,+10.0806,actual resting fill -> recalculated ATR SELL; 16:00 backstop,Schwab: bid=3.1200 print=3.1300
9,2026-08-24,XPON,Schwab: 13:03:07.000,Schwab: 7.6300,Schwab: 7.6291,14:19:00.000,14:19:00.000,no,1,exited at -8%,Schwab: NA,Schwab: 13:09:55.553,Schwab: not both touched,Schwab: 13:09:55.553,Schwab: 7.0100,Schwab: -0.3932% @ 0.012m,Schwab: -38.9253% @ 12.060m,-8.1258,Schwab: 13:09:42.000,Schwab: 7.2500,-4.9803,Schwab: native OCO stop,endpoint-independent,-9.0433,-9.0433,actual resting fill -> recalculated ATR SELL; 16:00 backstop,Schwab: bid=7.6000 print=7.6500
10,2026-08-24,XPON,Schwab: 13:31:58.000,Schwab: 7.2100,Schwab: 7.2108,14:19:00.000,14:19:00.000,no,0,exited on ATR flip,Schwab: NA,Schwab: NA,Schwab: not both touched,Schwab: 14:19:00.208,Schwab: 6.9400,Schwab: +4.0222% @ 34.624m,Schwab: -6.9348% @ 46.791m,-3.7448,Schwab: 13:33:31.000,Schwab: 7.3600,+2.0804,Schwab: native OCO target,depends on recalculated ATR SELL endpoint,-3.7448,-3.7448,actual resting fill -> recalculated ATR SELL; 16:00 backstop,Schwab: bid=7.5000 print=7.5200
11,2026-08-24,LUCY,Schwab: 13:50:43.000; Webull: 13:50:43.613,Schwab: 1.0800; Webull: 1.0800,Schwab: 1.0807; Webull: 1.0807,15:12:00.000,15:12:00.000,no,0,exited on ATR flip,Schwab: NA; Webull: NA,Schwab: NA; Webull: NA,Schwab: not both touched; Webull: not both touched,Schwab: 15:12:00.091; Webull: 15:12:00.091,Schwab: 1.0400; Webull: 1.0400,Schwab: +0.9259% @ 60.119m; Webull: +0.9259% @ 60.108m,Schwab: -3.7037% @ 4.976m; Webull: -3.7037% @ 4.966m,-3.7037,Schwab: 14:50:51.000; Webull: NA,Schwab: 1.1000; Webull: NA,NA,Schwab: native OCO target; Webull: broker fills close only 0 of 1.00000000 shares,depends on recalculated ATR SELL endpoint,-3.7037,-3.7037,actual resting fill -> recalculated ATR SELL; 16:00 backstop,Schwab: bid=1.0900 print=1.1000; Webull: bid=1.0900 print=1.1000
12,2026-08-24,XPON,Schwab: 14:38:42.000,Schwab: 7.3800,Schwab: 7.3751,15:07:00.000,15:07:00.000,no,0,exited at +5%,Schwab: 14:55:11.391,Schwab: NA,Schwab: not both touched,Schwab: 14:55:11.391,Schwab: 7.7500,Schwab: +8.2656% @ 16.492m,Schwab: -7.3171% @ 17.166m,+5.0136,Schwab: 14:51:18.000,Schwab: 7.5200,+1.8970,Schwab: native OCO target,endpoint-independent,+5.0136,-5.4201,actual resting fill -> recalculated ATR SELL; 16:00 backstop,Schwab: bid=7.9900 print=8.0000
13,2026-08-24,PMI,Schwab: 15:13:59.000; Webull: 15:13:59.237,Schwab: 4.6500; Webull: 4.6690,Schwab: 4.6501; Webull: 4.6501,none; 16:00 backstop,none; 16:00 backstop,no,0,exited at +5%,Schwab: 15:49:47.562; Webull: 15:49:51.423,Schwab: NA; Webull: NA,Schwab: not both touched; Webull: not both touched,Schwab: 15:49:47.562; Webull: 15:49:51.423,Schwab: 4.8900; Webull: 4.9100,Schwab: +13.3333% @ 45.965m; Webull: +12.8721% @ 45.961m,Schwab: -3.2258% @ 5.758m; Webull: -3.6196% @ 5.754m,+5.1614,Schwab: 15:15:54.000; Webull: NA,Schwab: 4.7400; Webull: NA,NA,Schwab: native OCO target; Webull: broker fills close only 0 of 1.00000000 shares,endpoint-independent,+5.1614,+10.1010,actual resting fill -> recalculated ATR SELL; 16:00 backstop,Schwab: bid=5.2700 print=5.3000; Webull: bid=5.2700 print=5.3000
14,2026-08-24,LUCY,Schwab: 15:19:10.000,Schwab: 1.0800,Schwab: 1.0806,15:39:00.000,15:39:00.000,no,0,exited on ATR flip,Schwab: NA,Schwab: NA,Schwab: not both touched,Schwab: 15:39:05.663,Schwab: 1.0500,Schwab: +2.7778% @ 0.751m,Schwab: -3.7037% @ 0.000m,-2.7778,Schwab: 15:19:40.000,Schwab: 1.1000,+1.8519,Schwab: native OCO target,depends on recalculated ATR SELL endpoint,-2.7778,-2.7778,actual resting fill -> recalculated ATR SELL; 16:00 backstop,Schwab: bid=1.1100 print=1.1150
15,2026-08-25,DAIC,Schwab: 11:36:51.000; Webull: 11:36:51.957,Schwab: 3.2000; Webull: 3.2000,Schwab: 3.1950; Webull: 3.1950,13:14:00.000,13:14:00.000,no,0,exited at +5%,Schwab: 12:05:00.721; Webull: 12:05:00.721,Schwab: NA; Webull: NA,Schwab: not both touched; Webull: not both touched,Schwab: 12:05:00.721; Webull: 12:05:00.721,Schwab: 3.3600; Webull: 3.3600,Schwab: +31.2500% @ 50.252m; Webull: +31.2500% @ 50.236m,Schwab: -4.0625% @ 17.092m; Webull: -4.0625% @ 17.076m,+5.0000,Schwab: 12:05:00.000; Webull: NA,Schwab: 3.2600; Webull: NA,NA,Schwab: native OCO target; Webull: broker fills close only 0 of 1.00000000 shares,endpoint-independent,+5.0000,+10.0000,actual resting fill -> recalculated ATR SELL; 16:00 backstop,Schwab: bid=4.2000 print=4.2200; Webull: bid=4.2000 print=4.2200
16,2026-08-25,BTCT,Webull: 11:48:33.567,Webull: 1.9400,Webull: 1.9365,none; 16:00 backstop,none; 16:00 backstop,no,0,exited at +5%,Webull: 13:02:28.573,Webull: NA,Webull: not both touched,Webull: 13:02:28.573,Webull: 2.0400,Webull: +6.7010% @ 89.186m,Webull: -2.0619% @ 26.592m,+5.1546,Webull: NA,Webull: NA,NA,Webull: broker fills close only 0 of 1.00000000 shares,endpoint-independent,+5.1546,NA,actual resting fill -> recalculated ATR SELL; 16:00 backstop,Webull: bid=2.0700 print=2.0800
17,2026-08-25,AIXI,Webull: 12:05:08.180,Webull: 1.1700,Webull: 1.1714,12:56:00.000,12:56:00.000,no,0,exited at -8%,Webull: 12:35:04.190,Webull: 12:12:13.782,Webull: -8 first,Webull: 12:12:13.782,Webull: 1.0700,Webull: +14.5299% @ 31.827m,Webull: -9.4017% @ 7.122m,-8.5470,Webull: 12:29:28.378,Webull: 1.1800,+0.8547,Webull: native OCO exit,endpoint-independent,+5.1282,+10.2564,actual resting fill -> recalculated ATR SELL; 16:00 backstop,Webull: bid=1.3400 print=1.3500
18,2026-08-25,PMI,Schwab: 12:18:46.000; Webull: 12:18:46.363,Schwab: 7.6800; Webull: 7.7000,Schwab: 7.6789; Webull: 7.6789,14:16:00.000,14:16:00.000,no,0,exited at +5%,Schwab: 12:29:06.415; Webull: 12:29:06.416,Schwab: NA; Webull: NA,Schwab: not both touched; Webull: not both touched,Schwab: 12:29:06.415; Webull: 12:29:06.416,Schwab: 8.0800; Webull: 8.0900,Schwab: +44.5312% @ 102.070m; Webull: +44.1558% @ 102.064m,Schwab: -1.1719% @ 0.007m; Webull: -1.4286% @ 0.001m,+5.1605,Schwab: 12:23:18.000; Webull: NA,Schwab: 7.8300; Webull: NA,NA,Schwab: native OCO target; Webull: broker fills close only 0 of 1.00000000 shares,endpoint-independent,+5.1605,+10.0174,actual resting fill -> recalculated ATR SELL; 16:00 backstop,Schwab: bid=11.1000 print=11.1300; Webull: bid=11.1000 print=11.1300
19,2026-08-25,AIXI,Webull: 12:22:58.387,Webull: 1.1550,Webull: 1.1600,12:56:00.000,12:56:00.000,no,0,exited at +5%,Webull: 12:29:58.658,Webull: NA,Webull: not both touched,Webull: 12:29:58.658,Webull: 1.2200,Webull: +16.0173% @ 13.990m,Webull: -2.1645% @ 2.354m,+5.6277,Webull: 14:12:43.810,Webull: 1.2600,+9.0909,Webull: native OCO target,endpoint-independent,+5.6277,+10.8225,actual resting fill -> recalculated ATR SELL; 16:00 backstop,Webull: bid=1.3400 print=1.3500
20,2026-08-25,PMI,Schwab: 12:24:29.000,Schwab: 7.8600,Schwab: 7.8600,14:16:00.000,14:16:00.000,no,0,exited at +5%,Schwab: 12:42:20.600,Schwab: NA,Schwab: not both touched,Schwab: 12:42:20.600,Schwab: 8.2600,Schwab: +41.2214% @ 96.353m,Schwab: -1.2723% @ 1.710m,+5.0891,Schwab: 12:25:06.000,Schwab: 8.0200,+2.0356,Schwab: native OCO target,endpoint-independent,+5.0891,+10.0509,actual resting fill -> recalculated ATR SELL; 16:00 backstop,Schwab: bid=11.1000 print=11.1300
21,2026-08-25,AIXI,Webull: 13:28:57.283,Webull: 1.2000,Webull: 1.2002,13:54:00.000,13:54:00.000,no,0,exited at +5%,Webull: 13:37:33.138,Webull: NA,Webull: not both touched,Webull: 13:37:33.138,Webull: 1.2600,Webull: +6.6667% @ 8.899m,Webull: -4.1667% @ 24.203m,+5.0000,Webull: NA,Webull: NA,NA,Webull: broker fills close only 0 of 1.00000000 shares,endpoint-independent,+5.0000,-4.1667,actual resting fill -> recalculated ATR SELL; 16:00 backstop,Webull: bid=1.2800 print=1.3000
22,2026-08-25,DAIC,Schwab: 14:02:06.000,Schwab: 3.5899,Schwab: 3.5877,15:12:00.000,15:12:00.000,no,0,exited at +5%,Schwab: 14:10:26.731,Schwab: NA,Schwab: not both touched,Schwab: 14:10:26.731,Schwab: 3.7700,Schwab: +13.9308% @ 22.602m,Schwab: -3.6185% @ 0.021m,+5.0169,Schwab: 14:02:08.000,Schwab: 3.6600,+1.9527,Schwab: native OCO target,endpoint-independent,+5.0169,+11.4237,actual resting fill -> recalculated ATR SELL; 16:00 backstop,Schwab: bid=4.0900 print=4.1100
23,2026-08-25,AIXI,Webull: 14:12:15.686,Webull: 1.2350,Webull: 1.1952,15:16:00.000,15:16:00.000,no,0,exited on ATR flip,Webull: NA,Webull: NA,Webull: not both touched,Webull: 15:16:00.327,Webull: 1.1600,Webull: +4.4534% @ 2.692m,Webull: -6.0729% @ 63.725m,-6.0729,Webull: NA,Webull: NA,NA,Webull: broker fills close only 0 of 1.00000000 shares,depends on recalculated ATR SELL endpoint,-6.0729,-6.0729,actual resting fill -> recalculated ATR SELL; 16:00 backstop,Webull: bid=1.2900 print=1.3000
24,2026-08-25,PMI,Schwab: 14:39:04.000; Webull: 14:39:04.407,Schwab: 9.6900; Webull: 9.6900,Schwab: 9.6816; Webull: 9.6816,15:57:00.000,15:57:00.000,no,0,exited at +5%,Schwab: 15:20:03.915; Webull: 15:20:03.915,Schwab: NA; Webull: NA,Schwab: not both touched; Webull: not both touched,Schwab: 15:20:03.915; Webull: 15:20:03.915,Schwab: 10.2200; Webull: 10.2200,Schwab: +8.7719% @ 42.305m; Webull: +8.7719% @ 42.298m,Schwab: -6.0888% @ 13.620m; Webull: -6.0888% @ 13.613m,+5.4696,Schwab: 14:41:09.000; Webull: NA,Schwab: 9.8800; Webull: NA,NA,Schwab: native OCO target; Webull: broker fills close only 0 of 1.00000000 shares,endpoint-independent,+5.4696,-2.7864,actual resting fill -> recalculated ATR SELL; 16:00 backstop,Schwab: bid=10.5400 print=10.5800; Webull: bid=10.5400 print=10.5800
25,2026-08-25,DAIC,Schwab: 15:44:40.000,Schwab: 3.6200,Schwab: 3.6307,none; 16:00 backstop,none; 16:00 backstop,no,0,exited at +5%,Schwab: 15:45:47.450,Schwab: NA,Schwab: not both touched,Schwab: 15:45:47.450,Schwab: 3.8100,Schwab: +10.2210% @ 12.281m,Schwab: -1.6575% @ 0.008m,+5.2486,Schwab: 15:45:16.000,Schwab: 3.7000,+2.2099,Schwab: native OCO target,endpoint-independent,+5.2486,+10.2210,actual resting fill -> recalculated ATR SELL; 16:00 backstop,Schwab: bid=3.9900 print=4.0000
26,2026-08-26,DAIC,Schwab: 08:34:28.000; Webull: 08:34:31.244,Schwab: 5.8662; Webull: 5.8700,Schwab: 5.8570; Webull: 5.8570,09:32:00.000,09:32:00.000,no,0,exited at +5%,Schwab: 08:49:25.290; Webull: 08:49:27.198,Schwab: NA; Webull: NA,Schwab: not both touched; Webull: not both touched,Schwab: 08:49:25.290; Webull: 08:49:27.198,Schwab: 6.1600; Webull: 6.1700,Schwab: +13.7022% @ 56.002m; Webull: +13.6286% @ 55.948m,Schwab: -1.1285% @ 6.517m; Webull: -1.1925% @ 6.463m,+5.0425,Schwab: 08:47:27.000; Webull: 08:47:27.942,Schwab: 5.9800; Webull: 5.9600,+1.8044,Schwab: CW_FLOOR; Webull: CW_FLOOR,endpoint-independent,+5.0425,+10.0986,actual resting fill -> recalculated ATR SELL; 16:00 backstop,Schwab: bid=6.6700 print=6.6900; Webull: bid=6.6700 print=6.6900
27,2026-08-26,YYGH,Webull: 08:55:12.254,Webull: 1.9500,Webull: 1.9416,09:31:00.000,09:31:00.000,no,0,exited on ATR flip,Webull: NA,Webull: NA,Webull: not both touched,Webull: 09:31:00.191,Webull: 1.8700,Webull: +3.0769% @ 6.842m,Webull: -4.6154% @ 35.319m,-4.1026,Webull: 09:04:09.860,Webull: 1.9700,+1.0256,Webull: CW_FLOOR,depends on recalculated ATR SELL endpoint,-4.1026,-4.1026,actual resting fill -> recalculated ATR SELL; 16:00 backstop,Webull: bid=2.0100 print=2.0200
28,2026-08-26,CRE,Webull: 08:57:44.917,Webull: 6.7700,Webull: 6.7285,09:03:00.000,09:03:00.000,no,0,exited at +5%,Webull: 08:58:06.430,Webull: 09:01:23.929,Webull: +5 first,Webull: 08:58:06.430,Webull: 7.1100,Webull: +5.1699% @ 0.377m,Webull: -16.1004% @ 5.147m,+5.0222,Webull: 08:58:09.449,Webull: 6.9100,+2.0679,Webull: CW_FLOOR,endpoint-independent,+5.0222,-15.0665,actual resting fill -> recalculated ATR SELL; 16:00 backstop,Webull: bid=7.1200 print=7.1300
29,2026-08-26,YYGH,Webull: 09:39:54.027,Webull: 1.9700,Webull: 1.9698,09:57:00.000,09:57:00.000,no,0,exited at -8%,Webull: NA,Webull: 09:56:12.091,Webull: not both touched,Webull: 09:56:12.091,Webull: 1.8100,Webull: +4.5685% @ 3.356m,Webull: -10.1523% @ 16.493m,-8.1218,Webull: 09:43:03.696,Webull: 2.0100,+2.0305,Webull: native OCO exit,endpoint-independent,-8.1218,-8.1218,actual resting fill -> recalculated ATR SELL; 16:00 backstop,Webull: bid=2.0600 print=2.0700
30,2026-08-26,YYGH,Webull: 10:31:00.827,Webull: 1.9500,Webull: 1.9370,11:06:00.000,11:06:00.000,no,0,exited on ATR flip,Webull: NA,Webull: NA,Webull: not both touched,Webull: 11:06:00.513,Webull: 1.9000,Webull: +4.1026% @ 9.154m,Webull: -2.5641% @ 0.271m,-2.5641,Webull: 10:31:08.610,Webull: 1.9312,-0.9641,Webull: CW_FLIP,depends on recalculated ATR SELL endpoint,-2.5641,-2.5641,actual resting fill -> recalculated ATR SELL; 16:00 backstop,Webull: bid=2.0300 print=2.0400
31,2026-08-26,YYGH,Webull: 10:32:40.360,Webull: 1.9350,Webull: 1.9698,11:06:00.000,11:06:00.000,no,0,exited on ATR flip,Webull: NA,Webull: NA,Webull: not both touched,Webull: 11:06:00.513,Webull: 1.9000,Webull: +4.9096% @ 7.495m,Webull: -1.8088% @ 25.894m,-1.8088,Webull: 10:35:37.964,Webull: 1.9800,+2.3256,Webull: native OCO target,depends on recalculated ATR SELL endpoint,-1.8088,-1.8088,actual resting fill -> recalculated ATR SELL; 16:00 backstop,Webull: bid=2.0300 print=2.0400
32,2026-08-26,YYGH,Webull: 11:30:08.920,Webull: 1.9700,Webull: 1.9590,12:32:00.000,12:32:00.000,no,0,exited at +5%,Webull: 11:31:58.269,Webull: NA,Webull: not both touched,Webull: 11:31:58.269,Webull: 2.0700,Webull: +6.0914% @ 1.847m,Webull: -5.0761% @ 61.601m,+5.0761,Webull: 11:30:33.530,Webull: 2.0100,+2.0305,Webull: native OCO exit,endpoint-independent,+5.0761,-4.0609,actual resting fill -> recalculated ATR SELL; 16:00 backstop,Webull: bid=2.0900 print=2.0900
33,2026-08-26,XPON,Schwab: 11:36:09.000; Webull: 11:36:09.213,Schwab: 9.4100; Webull: 9.4200,Schwab: 9.4055; Webull: 9.4055,12:14:00.000,12:14:00.000,no,0,exited at -8%,Schwab: NA; Webull: NA,Schwab: 12:13:37.300; Webull: 12:13:37.299,Schwab: not both touched; Webull: not both touched,Schwab: 12:13:37.300; Webull: 12:13:37.299,Schwab: 8.6500; Webull: 8.6600,Schwab: +1.5940% @ 0.532m; Webull: +1.4862% @ 0.528m,Schwab: -8.0765% @ 37.472m; Webull: -8.1741% @ 37.468m,-8.0737,Schwab: 11:49:11.000; Webull: 11:49:11.857,Schwab: 8.9300; Webull: 8.9100,-5.2053,Schwab: native OCO stop; Webull: native OCO exit,endpoint-independent,-8.1090,-8.1090,actual resting fill -> recalculated ATR SELL; 16:00 backstop,Schwab: bid=9.5600 print=9.5800; Webull: bid=9.5600 print=9.5800
34,2026-08-26,CRE,Webull: 12:18:17.300,Webull: 6.2784,Webull: 6.2829,12:33:00.000,12:33:00.000,no,0,exited on ATR flip,Webull: NA,Webull: NA,Webull: not both touched,Webull: 12:33:00.618,Webull: 6.0200,Webull: +2.0961% @ 5.225m,Webull: -4.4343% @ 14.014m,-4.1157,Webull: 12:22:27.422,Webull: 6.4000,+1.9368,Webull: native OCO exit,depends on recalculated ATR SELL endpoint,-4.1157,-4.1157,actual resting fill -> recalculated ATR SELL; 16:00 backstop,Webull: bid=6.4100 print=6.4200
35,2026-08-26,XPON,Schwab: 12:42:21.000; Webull: 12:42:21.356,Schwab: 8.9300; Webull: 8.9100,Schwab: 8.9020; Webull: 8.9020,14:01:00.000,14:01:00.000,no,0,exited at -8%,Schwab: NA; Webull: NA,Schwab: 12:53:59.658; Webull: 12:53:59.665,Schwab: not both touched; Webull: not both touched,Schwab: 12:53:59.658; Webull: 12:53:59.665,Schwab: 8.2000; Webull: 8.1600,Schwab: -0.3359% @ 0.027m; Webull: -0.1122% @ 0.021m,Schwab: -12.6540% @ 22.825m; Webull: -12.4579% @ 22.819m,-8.2556,Schwab: 12:51:30.000; Webull: 12:42:37.974,Schwab: 8.4600; Webull: 8.8450,-3.7519,Schwab: native OCO stop; Webull: CW_FLIP,endpoint-independent,-9.4508,-9.4508,actual resting fill -> recalculated ATR SELL; 16:00 backstop,Schwab: bid=8.9000 print=8.9300; Webull: bid=8.9000 print=8.9300
36,2026-08-26,CRE,Webull: 12:49:00.259,Webull: 6.2100,Webull: 6.2023,14:45:00.000,14:45:00.000,no,0,exited at +5%,Webull: 13:38:28.428,Webull: NA,Webull: not both touched,Webull: 13:38:28.428,Webull: 6.5300,Webull: +7.7295% @ 50.983m,Webull: -3.2206% @ 25.946m,+5.1530,Webull: 13:29:21.335,Webull: 6.3300,+1.9324,Webull: native OCO exit,endpoint-independent,+5.1530,-1.7713,actual resting fill -> recalculated ATR SELL; 16:00 backstop,Webull: bid=6.6900 print=6.7200
