Day,Path,Symbol,EntryTime,EntryPrice,ExitTime,ExitPrice,Shares,ExitReason,PnL$,PnL%,CumTradePnL$
2026-06-11,"P3-B(touch,vol>5k)",EDHL,11:32,8.7901,11:33,9.1417,7,scale+4% *AMBIG,2.4612,4.0,2.4612
2026-06-11,"P3-B(touch,vol>5k)",EDHL,11:32,8.7901,11:33,9.268,3,floor+5.44% *AMBIG,1.4337,5.437,3.8949
2026-06-11,"P3-B(touch,vol>5k)",EDHL,13:03,6.8664,13:04,7.1411,7,scale+4%,1.9229,4.001,1.9229
2026-06-11,"P3-B(touch,vol>5k)",EDHL,13:03,6.8664,13:04,7.318,3,floor+6.58%,1.3548,6.577,3.2777
2026-06-11,"P3-B(touch,vol>5k)",EDHL,15:14,6.7402,15:16,6.6391,10,hard-stop,-1.011,-1.5,-1.011
2026-06-11,"P3-B(touch,vol>5k)",EDHL,19:06,7.3952,19:07,7.691,7,scale+4% *AMBIG,2.0706,4.0,2.0706
2026-06-11,"P3-B(touch,vol>5k)",EDHL,19:06,7.3952,19:07,7.6891,3,floor+3.97% *AMBIG,0.8817,3.974,2.9523
2026-06-11,"P3-B(touch,vol>5k)",EDHL,19:49,10.5622,19:50,10.4038,10,hard-stop,-1.584,-1.5,-1.584
2026-06-11,P1-MACD Cross,EDHL,19:43,10.12,19:44,9.9682,10,hard-stop,-1.518,-1.5,-1.518
2026-06-11,P2-VWAP Breakout,EDHL,19:09,9.12,19:10,9.3024,5,scale+2% *AMBIG,0.912,2.0,0.912
2026-06-11,P2-VWAP Breakout,EDHL,19:09,9.12,19:10,9.1656,5,floor+0.50% *AMBIG,0.228,0.5,1.14
