session_day_et,symbol,buy_signal_ts,entry_ts,entry_px,reached_5,atr_segment_max_up_pct,session_max_up_pct,fixed_5_signal_ts,fixed_5_trigger,fixed_5_exit_ts,fixed_5_exit_px,fixed_5_exit_reason,fixed_5_return_pct,fixed_5_duration_minutes,fixed_5_capture_pct,atr_sell_signal_ts,atr_sell_trigger,atr_sell_exit_ts,atr_sell_exit_px,atr_sell_exit_reason,atr_sell_return_pct,atr_sell_duration_minutes,atr_sell_capture_pct,dot_bearish_signal_ts,dot_bearish_trigger,dot_bearish_exit_ts,dot_bearish_exit_px,dot_bearish_exit_reason,dot_bearish_return_pct,dot_bearish_duration_minutes,dot_bearish_capture_pct,macd_hist_below_zero_signal_ts,macd_hist_below_zero_trigger,macd_hist_below_zero_exit_ts,macd_hist_below_zero_exit_px,macd_hist_below_zero_exit_reason,macd_hist_below_zero_return_pct,macd_hist_below_zero_duration_minutes,macd_hist_below_zero_capture_pct,first_signal_ts,first_trigger,first_exit_ts,first_exit_px,first_exit_reason,first_return_pct,first_duration_minutes,first_capture_pct,second_signal_ts,second_trigger,second_exit_ts,second_exit_px,second_exit_reason,second_return_pct,second_duration_minutes,second_capture_pct
2026-08-24,PMI,2026-08-24T15:58:00+00:00,2026-08-24T15:58:00.551569+00:00,4.35,True,12.4138,21.1494,,target,2026-08-24T16:25:48.663302+00:00,4.5675,target,5.0,27.8,23.64,,atr_sell,2026-08-24T17:01:00.194855+00:00,4.51,atr_sell,3.6782,62.99,17.39,2026-08-24T16:03:00+00:00,dot,2026-08-24T16:03:00.092258+00:00,4.32,signal,-0.6897,4.99,-3.26,2026-08-24T16:11:00+00:00,hist,2026-08-24T16:11:00.125437+00:00,4.26,signal,-2.069,12.99,-9.78,2026-08-24T16:03:00+00:00,dot,2026-08-24T16:03:00.092258+00:00,4.32,signal,-0.6897,4.99,-3.26,2026-08-24T16:11:00+00:00,hist,2026-08-24T16:11:00.125437+00:00,4.26,signal,-2.069,12.99,-9.78
2026-08-24,BTCT,2026-08-24T16:06:00+00:00,2026-08-24T16:06:00.301511+00:00,2.31,False,4.7619,4.7619,,atr_sell,2026-08-24T17:01:00.195571+00:00,2.16,atr_sell,-6.4935,55.0,-136.36,,atr_sell,2026-08-24T17:01:00.195571+00:00,2.16,atr_sell,-6.4935,55.0,-136.36,2026-08-24T16:10:00+00:00,dot,2026-08-24T16:10:01.000782+00:00,2.31,signal,0.0,4.01,0.0,2026-08-24T16:15:00+00:00,hist,2026-08-24T16:15:00.894066+00:00,2.28,signal,-1.2987,9.01,-27.27,2026-08-24T16:10:00+00:00,dot,2026-08-24T16:10:01.000782+00:00,2.31,signal,0.0,4.01,0.0,2026-08-24T16:15:00+00:00,hist,2026-08-24T16:15:00.894066+00:00,2.28,signal,-1.2987,9.01,-27.27
2026-08-24,DAIC,2026-08-24T16:57:00+00:00,2026-08-24T16:57:00.261108+00:00,2.64,True,18.9394,18.9394,,target,2026-08-24T17:02:20.187483+00:00,2.772,target,5.0,5.33,26.4,,atr_sell,2026-08-24T18:33:00.598063+00:00,2.46,atr_sell,-6.8182,96.01,-36.0,2026-08-24T17:18:00+00:00,dot,2026-08-24T17:18:00.226230+00:00,2.61,signal,-1.1364,21.0,-6.0,2026-08-24T17:30:00+00:00,hist,2026-08-24T17:30:00.147195+00:00,2.47,signal,-6.4394,33.0,-34.0,2026-08-24T17:18:00+00:00,dot,2026-08-24T17:18:00.226230+00:00,2.61,signal,-1.1364,21.0,-6.0,2026-08-24T17:30:00+00:00,hist,2026-08-24T17:30:00.147195+00:00,2.47,signal,-6.4394,33.0,-34.0
2026-08-24,BTCT,2026-08-24T17:29:00+00:00,2026-08-24T17:29:00.001103+00:00,2.09,True,5.2632,5.2632,,target,2026-08-24T17:45:20.098462+00:00,2.1945,target,5.0,16.33,95.0,,atr_sell,2026-08-24T17:56:00.728946+00:00,2.0,atr_sell,-4.3062,27.01,-81.82,2026-08-24T17:35:00+00:00,dot,2026-08-24T17:35:00.424352+00:00,2.09,signal,0.0,6.01,0.0,2026-08-24T17:53:00+00:00,hist,2026-08-24T17:53:03.904279+00:00,2.1,signal,0.4785,24.07,9.09,2026-08-24T17:35:00+00:00,dot,2026-08-24T17:35:00.424352+00:00,2.09,signal,0.0,6.01,0.0,2026-08-24T17:53:00+00:00,hist,2026-08-24T17:53:03.904279+00:00,2.1,signal,0.4785,24.07,9.09
2026-08-24,XPON,2026-08-24T17:32:00+00:00,2026-08-24T17:32:00.617511+00:00,7.22,False,3.8781,10.6648,,atr_sell,2026-08-24T18:19:00.208814+00:00,6.94,atr_sell,-3.8781,46.99,-36.36,,atr_sell,2026-08-24T18:19:00.208814+00:00,6.94,atr_sell,-3.8781,46.99,-36.36,2026-08-24T17:37:00+00:00,dot,2026-08-24T17:37:00.386453+00:00,7.28,signal,0.831,5.0,7.79,2026-08-24T17:49:00+00:00,hist,2026-08-24T17:49:01.301776+00:00,7.25,signal,0.4155,17.01,3.9,2026-08-24T17:37:00+00:00,dot,2026-08-24T17:37:00.386453+00:00,7.28,signal,0.831,5.0,7.79,2026-08-24T17:49:00+00:00,hist,2026-08-24T17:49:01.301776+00:00,7.25,signal,0.4155,17.01,3.9
2026-08-24,PMI,2026-08-24T17:42:00+00:00,2026-08-24T17:42:00.137546+00:00,4.63,False,-0.216,13.8229,,atr_sell,2026-08-24T17:58:00.075759+00:00,4.47,atr_sell,-3.4557,16.0,-25.0,,atr_sell,2026-08-24T17:58:00.075759+00:00,4.47,atr_sell,-3.4557,16.0,-25.0,2026-08-24T17:49:00+00:00,dot,2026-08-24T17:49:00.212510+00:00,4.5,signal,-2.8078,7.0,-20.31,2026-08-24T17:50:00+00:00,hist,2026-08-24T17:50:00.511867+00:00,4.5,signal,-2.8078,8.01,-20.31,2026-08-24T17:49:00+00:00,dot,2026-08-24T17:49:00.212510+00:00,4.5,signal,-2.8078,7.0,-20.31,2026-08-24T17:50:00+00:00,hist,2026-08-24T17:50:00.511867+00:00,4.5,signal,-2.8078,8.01,-20.31
2026-08-24,PMI,2026-08-24T18:17:00+00:00,2026-08-24T18:17:00.122862+00:00,4.51,False,0.2217,16.8514,,atr_sell,2026-08-24T18:34:00.216630+00:00,4.46,atr_sell,-1.1086,17.0,-6.58,,atr_sell,2026-08-24T18:34:00.216630+00:00,4.46,atr_sell,-1.1086,17.0,-6.58,2026-08-24T18:22:00+00:00,dot,2026-08-24T18:22:00.116245+00:00,4.48,signal,-0.6652,5.0,-3.95,2026-08-24T18:31:00+00:00,hist,2026-08-24T18:31:00.385807+00:00,4.48,signal,-0.6652,14.0,-3.95,2026-08-24T18:22:00+00:00,dot,2026-08-24T18:22:00.116245+00:00,4.48,signal,-0.6652,5.0,-3.95,2026-08-24T18:31:00+00:00,hist,2026-08-24T18:31:00.385807+00:00,4.48,signal,-0.6652,14.0,-3.95
2026-08-24,PMI,2026-08-24T18:43:00+00:00,2026-08-24T18:43:00.203558+00:00,4.62,False,-0.4329,14.0693,,atr_sell,2026-08-24T18:59:00.229406+00:00,4.48,atr_sell,-3.0303,16.0,-21.54,,atr_sell,2026-08-24T18:59:00.229406+00:00,4.48,atr_sell,-3.0303,16.0,-21.54,2026-08-24T18:46:00+00:00,dot,2026-08-24T18:46:00.305930+00:00,4.52,signal,-2.1645,3.0,-15.38,2026-08-24T18:51:00+00:00,hist,2026-08-24T18:51:00.383246+00:00,4.48,signal,-3.0303,8.0,-21.54,2026-08-24T18:46:00+00:00,dot,2026-08-24T18:46:00.305930+00:00,4.52,signal,-2.1645,3.0,-15.38,2026-08-24T18:51:00+00:00,hist,2026-08-24T18:51:00.383246+00:00,4.48,signal,-3.0303,8.0,-21.54
2026-08-24,BTCT,2026-08-24T18:48:00+00:00,2026-08-24T18:48:04.154702+00:00,1.95,False,0.5128,0.5128,,atr_sell,2026-08-24T19:23:01.749815+00:00,1.82,atr_sell,-6.6667,34.96,-1300.0,,atr_sell,2026-08-24T19:23:01.749815+00:00,1.82,atr_sell,-6.6667,34.96,-1300.0,2026-08-24T18:51:00+00:00,dot,2026-08-24T18:51:01.092484+00:00,1.91,signal,-2.0513,2.95,-400.0,2026-08-24T19:01:00+00:00,hist,2026-08-24T19:01:00.303061+00:00,1.89,signal,-3.0769,12.94,-600.0,2026-08-24T18:51:00+00:00,dot,2026-08-24T18:51:01.092484+00:00,1.91,signal,-2.0513,2.95,-400.0,2026-08-24T19:01:00+00:00,hist,2026-08-24T19:01:00.303061+00:00,1.89,signal,-3.0769,12.94,-600.0
2026-08-24,LUCY,2026-08-24T18:51:00+00:00,2026-08-24T18:51:00.619173+00:00,1.1,False,-0.9091,1.8182,,atr_sell,2026-08-24T19:12:00.091891+00:00,1.04,atr_sell,-5.4545,20.99,-300.0,,atr_sell,2026-08-24T19:12:00.091891+00:00,1.04,atr_sell,-5.4545,20.99,-300.0,2026-08-24T18:55:00+00:00,dot,2026-08-24T18:55:02.228589+00:00,1.07,signal,-2.7273,4.03,-150.0,2026-08-24T18:56:00+00:00,hist,2026-08-24T18:56:02.642729+00:00,1.07,signal,-2.7273,5.03,-150.0,2026-08-24T18:55:00+00:00,dot,2026-08-24T18:55:02.228589+00:00,1.07,signal,-2.7273,4.03,-150.0,2026-08-24T18:56:00+00:00,hist,2026-08-24T18:56:02.642729+00:00,1.07,signal,-2.7273,5.03,-150.0
