day,symbol,opening_high,break_time_et,atr_state,atr_trail,atr_source,minute_et,price,pct_from_level,bid,ask,spread_pct,halted,qualification
2026-08-26,DAIC,6.350000,09:30:04,LONG,6.020252685497772,DERIVED: deployed v2 ATR replay on persisted Schwab 1m bars (sources=live) through last completed bar 09:29 ET,09:30,6.370000,0.314960629921259842519685000,6.350000,6.390000,0.6279434850863422291993720565,False,SIMULATED | NOT SIZE-QUALIFIED
2026-08-26,DAIC,6.350000,09:30:04,LONG,6.020252685497772,DERIVED: deployed v2 ATR replay on persisted Schwab 1m bars (sources=live) through last completed bar 09:29 ET,09:31,5.937500,-6.496062992125984251968503940,5.920000,5.940000,0.3372681281618887015177065767,False,SIMULATED | NOT SIZE-QUALIFIED
2026-08-26,DAIC,6.350000,09:30:04,LONG,6.020252685497772,DERIVED: deployed v2 ATR replay on persisted Schwab 1m bars (sources=live) through last completed bar 09:29 ET,09:32,5.955000,-6.220472440944881889763779530,5.940000,5.970000,0.5037783375314861460957178841,False,SIMULATED | NOT SIZE-QUALIFIED
2026-08-26,DAIC,6.350000,09:30:04,LONG,6.020252685497772,DERIVED: deployed v2 ATR replay on persisted Schwab 1m bars (sources=live) through last completed bar 09:29 ET,09:33,5.900000,-7.086614173228346456692913390,5.890000,5.910000,0.3389830508474576271186440678,False,SIMULATED | NOT SIZE-QUALIFIED
2026-08-26,DAIC,6.350000,09:30:04,LONG,6.020252685497772,DERIVED: deployed v2 ATR replay on persisted Schwab 1m bars (sources=live) through last completed bar 09:29 ET,09:34,5.897600,-7.124409448818897637795275590,5.860000,5.900000,0.6802721088435374149659863946,False,SIMULATED | NOT SIZE-QUALIFIED
2026-08-26,DAIC,6.350000,09:30:04,LONG,6.020252685497772,DERIVED: deployed v2 ATR replay on persisted Schwab 1m bars (sources=live) through last completed bar 09:29 ET,09:35,5.988800,-5.688188976377952755905511810,5.930000,6.000000,1.173512154233025984911986588,False,SIMULATED | NOT SIZE-QUALIFIED
2026-08-26,DAIC,6.350000,09:30:04,LONG,6.020252685497772,DERIVED: deployed v2 ATR replay on persisted Schwab 1m bars (sources=live) through last completed bar 09:29 ET,09:36,6.010000,-5.354330708661417322834645670,5.980000,6.030000,0.8326394671107410491257285595,False,SIMULATED | NOT SIZE-QUALIFIED
2026-08-26,DAIC,6.350000,09:30:04,LONG,6.020252685497772,DERIVED: deployed v2 ATR replay on persisted Schwab 1m bars (sources=live) through last completed bar 09:29 ET,09:37,6.020000,-5.196850393700787401574803150,5.980000,6.020000,0.6666666666666666666666666667,False,SIMULATED | NOT SIZE-QUALIFIED
2026-08-26,DAIC,6.350000,09:30:04,LONG,6.020252685497772,DERIVED: deployed v2 ATR replay on persisted Schwab 1m bars (sources=live) through last completed bar 09:29 ET,09:38,6.082600,-4.211023622047244094488188980,6.080000,6.090000,0.1643385373870172555464256368,False,SIMULATED | NOT SIZE-QUALIFIED
2026-08-26,DAIC,6.350000,09:30:04,LONG,6.020252685497772,DERIVED: deployed v2 ATR replay on persisted Schwab 1m bars (sources=live) through last completed bar 09:29 ET,09:39,6.030000,-5.039370078740157480314960630,6.010000,6.050000,0.6633499170812603648424543947,False,SIMULATED | NOT SIZE-QUALIFIED
2026-08-26,DAIC,6.350000,09:30:04,LONG,6.020252685497772,DERIVED: deployed v2 ATR replay on persisted Schwab 1m bars (sources=live) through last completed bar 09:29 ET,09:40,6.084200,-4.185826771653543307086614170,6.050000,6.090000,0.6589785831960461285008237232,False,SIMULATED | NOT SIZE-QUALIFIED
2026-08-26,DAIC,6.350000,09:30:04,LONG,6.020252685497772,DERIVED: deployed v2 ATR replay on persisted Schwab 1m bars (sources=live) through last completed bar 09:29 ET,09:41,6.060000,-4.566929133858267716535433070,6.060000,6.120000,0.9852216748768472906403940887,False,SIMULATED | NOT SIZE-QUALIFIED
2026-08-26,DAIC,6.350000,09:30:04,LONG,6.020252685497772,DERIVED: deployed v2 ATR replay on persisted Schwab 1m bars (sources=live) through last completed bar 09:29 ET,09:42,5.961300,-6.121259842519685039370078740,5.960000,5.970000,0.1676445934618608549874266555,False,SIMULATED | NOT SIZE-QUALIFIED
2026-08-26,DAIC,6.350000,09:30:04,LONG,6.020252685497772,DERIVED: deployed v2 ATR replay on persisted Schwab 1m bars (sources=live) through last completed bar 09:29 ET,09:43,5.994000,-5.606299212598425196850393700,5.990000,6.020000,0.4995836802664446294754371357,False,SIMULATED | NOT SIZE-QUALIFIED
2026-08-26,DAIC,6.350000,09:30:04,LONG,6.020252685497772,DERIVED: deployed v2 ATR replay on persisted Schwab 1m bars (sources=live) through last completed bar 09:29 ET,09:44,5.830600,-8.179527559055118110236220470,5.840000,5.850000,0.1710863986313088109495295124,False,SIMULATED | NOT SIZE-QUALIFIED
2026-08-26,DAIC,6.350000,09:30:04,LONG,6.020252685497772,DERIVED: deployed v2 ATR replay on persisted Schwab 1m bars (sources=live) through last completed bar 09:29 ET,09:45,5.925000,-6.692913385826771653543307090,5.910000,5.940000,0.5063291139240506329113924051,False,SIMULATED | NOT SIZE-QUALIFIED
2026-08-26,DAIC,6.350000,09:30:04,LONG,6.020252685497772,DERIVED: deployed v2 ATR replay on persisted Schwab 1m bars (sources=live) through last completed bar 09:29 ET,09:46,5.872400,-7.521259842519685039370078740,5.840000,5.900000,1.022146507666098807495741056,False,SIMULATED | NOT SIZE-QUALIFIED
2026-08-26,DAIC,6.350000,09:30:04,LONG,6.020252685497772,DERIVED: deployed v2 ATR replay on persisted Schwab 1m bars (sources=live) through last completed bar 09:29 ET,09:47,5.912400,-6.891338582677165354330708660,5.910000,5.930000,0.3378378378378378378378378378,False,SIMULATED | NOT SIZE-QUALIFIED
2026-08-26,DAIC,6.350000,09:30:04,LONG,6.020252685497772,DERIVED: deployed v2 ATR replay on persisted Schwab 1m bars (sources=live) through last completed bar 09:29 ET,09:48,5.880000,-7.401574803149606299212598430,5.870000,5.910000,0.6791171477079796264855687606,False,SIMULATED | NOT SIZE-QUALIFIED
2026-08-26,DAIC,6.350000,09:30:04,LONG,6.020252685497772,DERIVED: deployed v2 ATR replay on persisted Schwab 1m bars (sources=live) through last completed bar 09:29 ET,09:49,6.030000,-5.039370078740157480314960630,6.030000,6.060000,0.4962779156327543424317617866,False,SIMULATED | NOT SIZE-QUALIFIED
2026-08-26,DAIC,6.350000,09:30:04,LONG,6.020252685497772,DERIVED: deployed v2 ATR replay on persisted Schwab 1m bars (sources=live) through last completed bar 09:29 ET,09:50,6.148000,-3.181102362204724409448818900,6.130000,6.150000,0.3257328990228013029315960912,False,SIMULATED | NOT SIZE-QUALIFIED
2026-08-26,DAIC,6.350000,09:30:04,LONG,6.020252685497772,DERIVED: deployed v2 ATR replay on persisted Schwab 1m bars (sources=live) through last completed bar 09:29 ET,09:51,6.160000,-2.992125984251968503937007870,6.130000,6.190000,0.9740259740259740259740259740,False,SIMULATED | NOT SIZE-QUALIFIED
2026-08-26,DAIC,6.350000,09:30:04,LONG,6.020252685497772,DERIVED: deployed v2 ATR replay on persisted Schwab 1m bars (sources=live) through last completed bar 09:29 ET,09:52,6.081000,-4.236220472440944881889763780,6.080000,6.090000,0.1643385373870172555464256368,False,SIMULATED | NOT SIZE-QUALIFIED
2026-08-26,DAIC,6.350000,09:30:04,LONG,6.020252685497772,DERIVED: deployed v2 ATR replay on persisted Schwab 1m bars (sources=live) through last completed bar 09:29 ET,09:53,6.110000,-3.779527559055118110236220470,6.100000,6.140000,0.6535947712418300653594771242,False,SIMULATED | NOT SIZE-QUALIFIED
2026-08-26,DAIC,6.350000,09:30:04,LONG,6.020252685497772,DERIVED: deployed v2 ATR replay on persisted Schwab 1m bars (sources=live) through last completed bar 09:29 ET,09:54,6.050000,-4.724409448818897637795275590,6.040000,6.060000,0.3305785123966942148760330579,False,SIMULATED | NOT SIZE-QUALIFIED
2026-08-26,DAIC,6.350000,09:30:04,LONG,6.020252685497772,DERIVED: deployed v2 ATR replay on persisted Schwab 1m bars (sources=live) through last completed bar 09:29 ET,09:55,5.965100,-6.061417322834645669291338580,5.960000,6.000000,0.6688963210702341137123745819,False,SIMULATED | NOT SIZE-QUALIFIED
