event,date_et,symbol,entry_time_et,broker,fill_id,fill_price,duplicate_webull_fill,max_up_pct,max_up_elapsed_minutes,max_down_pct,max_down_elapsed_minutes,boundary_kind,exit_time_et,exit_price,exit_trigger,missing_bars
36,2026-08-26,CRE,Webull: 12:49:00.259,Webull,Webull: 5443345a-3702-4342-bc5d-49dfcd9fbfed,Webull: 6.2100,no,Webull: +1.4493,Webull: 5.259,Webull: -3.2206,Webull: 25.946,Webull: actual exit,Webull: 13:29:21.335,Webull: 6.3300,Webull: native OCO exit,Webull: none
37,2026-08-26,YYGH,Webull: 13:24:51.515,Webull,Webull: 6fe04f76-f1a4-4e30-b358-ab2e49bae119,Webull: 1.9288,no,Webull: +1.6176,Webull: 30.570,Webull: -1.4932,Webull: 11.770,Webull: actual exit,Webull: 14:26:13.551,Webull: 1.9700,Webull: native OCO target,Webull: none
38,2026-08-26,XPON,Schwab: 13:29:09.000; Webull: 13:29:09.171,Schwab+Webull,Schwab: 06728dab-d2ed-4754-a2ce-fc57aed49657; Webull: ad4929b8-5a95-46c2-8ad7-11343cc08c92,Schwab: 8.2300; Webull: 8.2390,no,Schwab: +1.5796; Webull: +1.4686,Schwab: 5.909; Webull: 5.906,Schwab: -1.4581; Webull: -1.5657,Schwab: 0.357; Webull: 0.354,Schwab: actual exit; Webull: actual exit,Schwab: 13:35:07.000; Webull: 13:35:07.032,Schwab: 8.3900; Webull: 8.4000,Schwab: native OCO target; Webull: native OCO exit,Schwab: none; Webull: none
39,2026-08-26,XPON,Schwab: 14:47:15.000; Webull: 14:47:15.113,Schwab+Webull,Schwab: b01b2929-64ad-4dd2-a1f6-20a337c004ce; Webull: d702591f-f1f9-47e5-b48f-9e2ed2149eda,Schwab: 8.2200; Webull: 8.2400,no,Schwab: +1.7032; Webull: -0.8495,Schwab: 0.350; Webull: 0.002,Schwab: -1.0949; Webull: -1.3350,Schwab: 0.003; Webull: 0.001,Schwab: actual exit; Webull: actual exit,Schwab: 14:47:58.000; Webull: 14:47:35.552,Schwab: 8.3900; Webull: 8.1800,Schwab: native OCO target; Webull: CW_FLIP,Schwab: none; Webull: none
40,2026-08-26,CRE,Webull: 15:24:31.618,Webull,Webull: 1c33aa84-779e-48ed-912a-7e7e0ae8a17d,Webull: 6.1700,no,Webull: +0.3241,Webull: 0.013,Webull: -0.8104,Webull: 0.001,Webull: actual exit,Webull: 15:24:44.335,Webull: 6.2900,Webull: native OCO exit,Webull: none
41,2026-08-26,YYGH,Webull: 15:25:44.667,Webull,Webull: 4ae0ed81-dea2-472c-9702-546a05ead51d,Webull: 1.9700,no,Webull: +1.5228,Webull: 22.754,Webull: -2.0305,Webull: 0.520,Webull: actual exit,Webull: 15:48:38.313,Webull: 2.0100,Webull: native OCO exit,Webull: none
42,2026-08-26,XPON,Schwab: 15:50:44.000; Webull: 15:50:44.712,Schwab+Webull,Schwab: bbe0ff04-4ef8-426b-a87d-954d304105f2; Webull: 4048f402-14ae-4ecb-9034-484bbd5076d5,Schwab: 8.6900; Webull: 8.6900,no,Schwab: +1.8412; Webull: +0.6904,Schwab: 0.852; Webull: 0.838,Schwab: -1.6110; Webull: -0.8055,Schwab: 3.071; Webull: 0.001,Schwab: actual exit; Webull: actual exit,Schwab: 15:55:00.000; Webull: 15:51:35.025,Schwab: 8.8700; Webull: 8.8600,Schwab: native OCO target; Webull: native OCO exit,Schwab: none; Webull: none
43,2026-08-27,PPCB,Webull: 10:59:24.900,Webull,Webull: 11ff0122-fa1d-4d91-a052-46dec2d3d2d6,Webull: 2.8295,no,Webull: +0.7245,Webull: 0.163,Webull: -4.2234,Webull: 0.002,Webull: actual exit,Webull: 10:59:37.319,Webull: 2.8305,Webull: CW_FLIP,Webull: none
44,2026-08-27,MIMI,Webull: 11:29:46.731,Webull,Webull: 31cb55fa-1cdd-44a8-9ca6-d3f0936e9713,Webull: 2.6700,no,Webull: +1.4981,Webull: 0.526,Webull: -0.3745,Webull: 0.008,Webull: actual exit,Webull: 11:30:55.505,Webull: 2.7200,Webull: native OCO exit,Webull: none
45,2026-08-27,CELU,Webull: 12:35:25.960; Schwab: 12:35:26.000,Webull+Schwab,Webull: 08d57364-aa55-48e0-b442-8fd7e4264181; Schwab: 296f45f8-f0e2-4b72-9d6c-d75f20989e05,Webull: 2.0000; Schwab: 1.9999,no,Webull: +1.5000; Schwab: +1.5051,Webull: 0.559; Schwab: 0.558,Webull: -0.5000; Schwab: -0.4950,Webull: 0.002; Schwab: 0.002,Webull: actual exit; Schwab: actual exit,Webull: 12:36:21.738; Schwab: 12:36:21.000,Webull: 2.0400; Schwab: 2.0400,Webull: native OCO exit; Schwab: native OCO target,Webull: none; Schwab: none
46,2026-08-27,PPCB,Webull: 12:58:23.270,Webull,Webull: b71e59ef-7653-423a-b975-3b4253e5d227,Webull: 2.4200,no,Webull: +0.0000,Webull: 0.001,Webull: -3.3058,Webull: 0.000,Webull: actual exit,Webull: 13:12:19.646,Webull: 2.3000,Webull: native OCO exit,Webull: none
47,2026-08-27,PPCB,Webull: 13:51:52.570,Webull,Webull: 825b6473-9ec2-4233-95bd-ec3f14135937,Webull: 2.1300,no,Webull: +0.9390,Webull: 1.380,Webull: -0.9390,Webull: 0.166,Webull: actual exit,Webull: 13:53:17.232,Webull: 2.1700,Webull: native OCO exit,Webull: none
48,2026-08-27,PPCB,Webull: 14:15:22.404,Webull,Webull: 45153884-7c0a-48f9-a671-149b79d4e6fa,Webull: 2.2100,no,Webull: +1.3575,Webull: 12.790,Webull: -3.6199,Webull: 6.945,Webull: actual exit,Webull: 14:28:23.035,Webull: 2.2500,Webull: native OCO exit,Webull: none
49,2026-08-27,CELU,Schwab: 14:15:35.000; Webull: 14:15:35.565,Schwab+Webull,Schwab: 54df0317-fb5c-4792-bfa9-0ee641ec5dc9; Webull: e81b7137-e0cd-486c-8a61-05a22c96a904,Schwab: 2.1187; Webull: 2.1200,no,Schwab: +1.4773; Webull: +1.4151,Schwab: 1.492; Webull: 1.483,Schwab: -2.7706; Webull: -2.8302,Schwab: 0.454; Webull: 0.444,Schwab: actual exit; Webull: actual exit,Schwab: 14:17:13.000; Webull: 14:17:13.917,Schwab: 2.1600; Webull: 2.1600,Schwab: native OCO target; Webull: native OCO exit,Schwab: none; Webull: none
50,2026-08-27,CELU,Schwab: 15:39:08.000; Webull: 15:39:08.725,Schwab+Webull,Schwab: e7f3ef40-9731-4db0-b657-e4ced4aeff74; Webull: 93609c25-7cec-4bea-9b92-9e93007cf75f,Schwab: 2.1099; Webull: 2.1100,no,Schwab: +1.4266; Webull: +1.4218,Schwab: 2.681; Webull: 2.669,Schwab: -3.7869; Webull: -3.7915,Schwab: 11.378; Webull: 11.366,Schwab: 16:00 cutoff; Webull: 16:00 cutoff,Schwab: 16:00:00.000; Webull: 16:00:00.000,Schwab: 2.0900 mark; Webull: 2.0900 mark,Schwab: still open at 16:00; Webull: still open at 16:00,Schwab: none; Webull: none
51,2026-08-28,QNRX,Webull: 08:41:25.804,Webull,Webull: 57b6dc51-f9a1-49b0-8a93-e50aee8917c6,Webull: 7.1400,no,Webull: +3.9216,Webull: 33.266,Webull: -3.0812,Webull: 6.877,Webull: actual exit,Webull: 09:14:43.300,Webull: 7.1900,Webull: CW_FLOOR,Webull: none
52,2026-08-31,AEHL,Webull: 08:18:08.590,Webull,Webull: 9c4303e7-9835-4f05-a583-9d99052f4a42,Webull: 6.0700,no,Webull: +26.6886,Webull: 75.876,Webull: -4.1186,Webull: 102.973,Webull: actual exit,Webull: 10:31:59.525,Webull: 6.4200,Webull: native OCO exit,"Webull: 4 missing: 09:37,09:38,09:39,09:40"
53,2026-08-31,YDDL,Webull: 09:33:51.591,Webull,Webull: 840361ce-b19c-4835-9db4-745d27f32649,Webull: 2.4790,no,Webull: +0.0403,Webull: 0.523,Webull: -1.5732,Webull: 0.269,Webull: actual exit,Webull: 09:34:26.807,Webull: 2.5300,Webull: native OCO exit,Webull: none
54,2026-08-31,AEHL,Webull: 10:23:13.099,Webull,Webull: 093e8747-81e7-40ee-af46-afcd686fd133,Webull: 6.2900,no,Webull: +3.8156,Webull: 70.540,Webull: -3.6566,Webull: 5.243,Webull: actual exit,Webull: 11:33:46.768,Webull: 6.5500,Webull: native OCO exit,Webull: none
55,2026-08-31,YDDL,Webull: 10:29:24.821; Webull: 10:29:38.252,Webull [DUPLICATE x2],Webull: 486cd9c9-fe2c-4d44-b038-0b4368dec122; Webull: 54222eb8-2ae1-4c4a-b48c-0b7554fcdb0c,Webull: 2.4300; Webull: 2.4387,yes,Webull: +0.0000; Webull: -0.3567,Webull: 0.130; Webull: 0.004,Webull: -4.1152; Webull: -13.0684,Webull: 2.828; Webull: 28.321,Webull: actual exit; Webull: actual exit,Webull: 10:32:14.796; Webull: 14:47:57.881,Webull: 2.3220; Webull: 2.1900,Webull: native OCO exit; Webull: native OCO stop,Webull: none; Webull: 1 missing: 13:48
56,2026-08-31,RDHL,Webull: 10:30:05.537,Webull,Webull: 28e1198a-a03c-4323-b738-d1bf0fe28c45,Webull: 1.1100,no,Webull: +0.9009,Webull: 9.210,Webull: -4.5045,Webull: 2.884,Webull: actual exit,Webull: 10:49:47.447,Webull: 1.0500,Webull: native OCO exit,Webull: none
57,2026-08-31,AEHL,Webull: 11:21:30.212,Webull,Webull: 9ec15062-a0d6-469b-89fb-1774d8807d97,Webull: 6.4200,no,Webull: +5.7632,Webull: 13.768,Webull: -2.9595,Webull: 6.449,Webull: actual exit,Webull: 11:35:17.361,Webull: 6.8400,Webull: native OCO exit,Webull: none
