session_day_et,split,symbol,buy_signal_ts,entry_ts,entry_px,never_touched_plus_1,bar_number,bar_start_ts,bar_close_ts,strategy_bar_available,post_fill_trade_prints,missing_state,close_vs_entry_pct,close_above_entry,traded_above_entry,bar_direction,running_low_pct,volume_ratio_20,macd_histogram,macd_histogram_pct,macd_histogram_direction,stochastic,rsi,dot_consensus,vwap,price_vs_vwap_pct,above_vwap,atr_trailing_stop,atr_stop_vs_price_pct,atr_stop_position
2026-08-24,build,BTCT,2026-08-24T13:27:00+00:00,2026-08-24T13:27:00.003525+00:00,1.69,True,1,2026-08-24T13:27:00+00:00,2026-08-24T13:28:00+00:00,True,294,,-1.183431952662728,False,False,down,-1.183431952662728,0.8964424005809196,0.009949925914881795,0.5958039469989099,rising,74.99999999999996,57.06471493731471,3,1.6857118429169655,-0.9320598287888671,False,1.5810601116235385,-5.325741818949781,below
2026-08-24,build,BTCT,2026-08-24T13:27:00+00:00,2026-08-24T13:27:00.003525+00:00,1.69,True,2,2026-08-24T13:28:00+00:00,2026-08-24T13:29:00+00:00,True,397,,-2.9585798816568087,False,False,down,-3.4911242603550274,0.6413729056224123,0.008054913113055609,0.4911532386009517,falling,45.45454545454535,49.46227349012151,1,1.6856413502629712,-2.7076548790079813,False,1.5810601116235385,-3.593895632711064,below
2026-08-24,build,BTCT,2026-08-24T13:27:00+00:00,2026-08-24T13:27:00.003525+00:00,1.69,True,3,2026-08-24T13:29:00+00:00,2026-08-24T13:30:00+00:00,True,490,,-3.2544378698224796,False,False,down,-4.142011834319515,0.8311539472206941,0.0062138134396441495,0.38004975166019267,falling,40.90909090909089,48.30714515481378,0,1.6855193094518273,-2.9972548619604633,False,1.5810601116235385,-3.2990757416796024,below
2026-08-24,build,BTCT,2026-08-24T13:27:00+00:00,2026-08-24T13:27:00.003525+00:00,1.69,True,4,2026-08-24T13:30:00+00:00,2026-08-24T13:31:00+00:00,True,1061,,-5.917159763313606,False,False,down,-5.917159763313606,2.734355360254434,0.0019361498673451244,0.12177043190849839,falling,0.0,39.39094590027953,0,1.6848393120049956,-5.628982617466038,False,1.5810601116235385,-0.5622571305950674,below
2026-08-24,build,BTCT,2026-08-24T13:27:00+00:00,2026-08-24T13:27:00.003525+00:00,1.69,True,5,2026-08-24T13:31:00+00:00,2026-08-24T13:32:00+00:00,True,1654,,-5.934911242603558,False,False,down,-8.875739644970404,4.021703235765273,-0.0007962258642672734,-0.05008654867379213,falling,31.062499999999925,39.33881645460361,1,1.682975774883018,-5.542312389463932,False,1.5810601116235385,-0.5434917516802806,below
2026-08-24,build,BTCT,2026-08-24T13:55:00+00:00,2026-08-24T13:55:00.494736+00:00,1.63,False,1,2026-08-24T13:55:00+00:00,2026-08-24T13:56:00+00:00,True,792,,-1.834355828220846,False,False,down,-2.4539877300613355,1.1625813593509378,0.013242647774171269,0.8276137600257025,rising,77.00000000000013,54.874879829336805,3,1.6644753115939865,-3.867603871657155,False,1.4800945505587948,-7.499871848084827,below
2026-08-24,build,BTCT,2026-08-24T13:55:00+00:00,2026-08-24T13:55:00.494736+00:00,1.63,False,2,2026-08-24T13:56:00+00:00,2026-08-24T13:57:00+00:00,True,1169,,0.018404907975466678,True,True,up,-2.4539877300613355,1.8650124574499054,0.01489152806991382,0.9134225645533841,rising,76.64705882352949,59.12409928903301,3,1.6640922611045101,-2.0306723307565333,False,1.4800945505587948,-9.213362537030322,below
2026-08-24,build,BTCT,2026-08-24T13:55:00+00:00,2026-08-24T13:55:00.494736+00:00,1.63,False,3,2026-08-24T13:57:00+00:00,2026-08-24T13:58:00+00:00,True,585,,-1.5337423312883347,False,True,down,-2.4539877300613355,0.881327553289755,0.013654015833915019,0.8507174974401881,falling,61.764705882352956,54.49451649328875,2,1.663831964183804,-3.535931839887696,False,1.4800945505587948,-7.782270993221507,below
2026-08-24,build,BTCT,2026-08-24T13:55:00+00:00,2026-08-24T13:55:00.494736+00:00,1.63,False,4,2026-08-24T13:58:00+00:00,2026-08-24T13:59:00+00:00,True,314,,-1.8282208588956905,False,False,down,-2.4539877300613355,0.4820646114530105,0.011949382958292447,0.7467430920067771,falling,58.941176470588296,53.63640760605401,1,1.663657938814181,-3.8143621554447837,False,1.4800945505587948,-7.505652383527384,below
2026-08-24,build,BTCT,2026-08-24T13:55:00+00:00,2026-08-24T13:55:00.494736+00:00,1.63,False,5,2026-08-24T13:59:00+00:00,2026-08-24T14:00:00+00:00,True,296,,-1.7852760736196238,False,False,down,-2.4539877300613355,0.5103486836735016,0.010365089677620216,0.647453912025749,falling,59.352941176470615,53.750783752366345,2,1.6634855474435826,-3.7623138679962143,False,1.482756582327106,-7.379812460047097,below
